Entry	Length	Protein names	Organism	Taxonomic lineage	Pfam	Subcellular location [CC]
A0A8J2S7V2	271	DUF222 domain-containing protein	Pelagomonas calceolata	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Pelagophyceae (class), Pelagomonadales (order), Pelagomonadaceae (family), Pelagomonas (genus)	PF04417;	
A0AAD3DF44	221	Uncharacterized protein	Chaetoceros tenuissimus	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bacillariophyta (phylum), Coscinodiscophyceae (class), Chaetocerotophycidae (subclass), Chaetocerotales (order), Chaetocerotaceae (family), Chaetoceros (genus)	PF04417;	
A4IAD9	302	Uncharacterized protein	Leishmania infantum	cellular organisms (no rank), Eukaryota (domain), Discoba (clade), Euglenozoa (phylum), Kinetoplastea (class), Metakinetoplastina (subclass), Trypanosomatida (order), Trypanosomatidae (family), Leishmaniinae (subfamily), Leishmania (genus), Leishmania (subgenus), Leishmania donovani species complex (no rank)	PF04417;	
A0A7G2C5F5	313	Uncharacterized protein	Angomonas deanei	cellular organisms (no rank), Eukaryota (domain), Discoba (clade), Euglenozoa (phylum), Kinetoplastea (class), Metakinetoplastina (subclass), Trypanosomatida (order), Trypanosomatidae (family), Strigomonadinae (subfamily), Angomonas (genus)	PF04417;	
A0A9W7GL09	318	Uncharacterized protein	Triparma columacea	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bolidophyceae (class), Parmales (order), Triparmaceae (family), Triparma (genus)	PF04417;	
Q4Q2H2	302	Uncharacterized protein	Leishmania major	cellular organisms (no rank), Eukaryota (domain), Discoba (clade), Euglenozoa (phylum), Kinetoplastea (class), Metakinetoplastina (subclass), Trypanosomatida (order), Trypanosomatidae (family), Leishmaniinae (subfamily), Leishmania (genus), Leishmania (subgenus), Leishmania major species complex (no rank)	PF04417;	
S9TXE0	358	Uncharacterized protein	Strigomonas culicis	cellular organisms (no rank), Eukaryota (domain), Discoba (clade), Euglenozoa (phylum), Kinetoplastea (class), Metakinetoplastina (subclass), Trypanosomatida (order), Trypanosomatidae (family), Strigomonadinae (subfamily), Strigomonas (genus)	PF04417;	
A0A9N8DX47	274	Uncharacterized protein	Seminavis robusta	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bacillariophyta (phylum), Bacillariophyceae (class), Bacillariophycidae (clade), Naviculales (order), Naviculaceae (family), Seminavis (genus)	PF04417;	
A0A9N8EZL3	294	Uncharacterized protein	Seminavis robusta	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bacillariophyta (phylum), Bacillariophyceae (class), Bacillariophycidae (clade), Naviculales (order), Naviculaceae (family), Seminavis (genus)	PF04417;	
A0AA88KMG9	372	Uncharacterized protein	Naegleria lovaniensis (Amoeba)	cellular organisms (no rank), Eukaryota (domain), Discoba (clade), Heterolobosea (phylum), Tetramitia (clade), Eutetramitia (clade), Vahlkampfiidae (family), Naegleria (genus)	PF04417;	
D8LLL9	285	Uncharacterized protein	Ectocarpus siliculosus (Brown alga) (Conferva siliculosa)	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), PX clade (clade), Phaeophyceae (class), Ectocarpales (order), Ectocarpaceae (family), Ectocarpus (genus)	PF04417;	
Q580D1	275	Uncharacterized protein	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	cellular organisms (no rank), Eukaryota (domain), Discoba (clade), Euglenozoa (phylum), Kinetoplastea (class), Metakinetoplastina (subclass), Trypanosomatida (order), Trypanosomatidae (family), Trypanosoma (genus), Trypanozoon (subgenus), Trypanosoma brucei (species), Trypanosoma brucei brucei (subspecies)	PF04417;	
A0AAD2CGX9	312	Uncharacterized protein	Cylindrotheca closterium	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bacillariophyta (phylum), Bacillariophyceae (class), Bacillariophycidae (clade), Bacillariales (order), Bacillariaceae (family), Cylindrotheca (genus)	PF04417;	
F0YD16	3593	Uncharacterized protein	Aureococcus anophagefferens (Harmful bloom alga)	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Pelagophyceae (class), Pelagomonadales (order), Pelagomonadaceae (family), Aureococcus (genus)	PF04417;	
