accession	domaine
A0A316TB42	Bacteria
A0A317K1P4	Bacteria
A0A317M9L4	supprimé d'UniProt
A0A317NBE1	supprimé d'UniProt
A0A318AB70	supprimé d'UniProt
A0A318HHD6	Bacteria
A0A318LBK8	Bacteria
A0A323VI60	Bacteria
A0A327ZG79	Bacteria
A0A328IRF5	supprimé d'UniProt
A0A329QKE8	Bacteria
A0A329RZZ6	Eukaryota
A0A344U6Y9	Bacteria
A0A344UW11	Bacteria
A0A345HSS0	Bacteria
A0A345NQK0	Bacteria
A0A345XUI0	Bacteria
A0A346Y2C2	Bacteria
A0A348HCY8	Bacteria
A0A364NHC5	Bacteria
A0A364V428	Bacteria
A0A365H5G6	Bacteria
A0A365YZT8	supprimé d'UniProt
A0A366DRV0	Bacteria
A0A366II26	Bacteria
A0A366KAU1	Bacteria
A0A366ZEP1	supprimé d'UniProt
A0A366ZL51	supprimé d'UniProt
A0A367ADL7	supprimé d'UniProt
A0A367APU2	supprimé d'UniProt
A0A367B156	supprimé d'UniProt
A0A367EIJ6	Bacteria
A0A367FNN2	Bacteria
A0A367HJP1	supprimé d'UniProt
A0A367Y817	Bacteria
A0A367YXY2	Bacteria
A0A368LC62	supprimé d'UniProt
A0A368T1G3	Bacteria
A0A368VJZ6	Bacteria
A0A368YHA2	supprimé d'UniProt
A0A369L5R9	supprimé d'UniProt
A0A369WEN4	Bacteria
A0A370BDL2	Bacteria
A0A370H8H6	Bacteria
A0A370IBN4	Bacteria
A0A370U4N5	Bacteria
A0A371NXX4	Bacteria
A0A371Q9V8	Bacteria
A0A372FRL9	Bacteria
A0A372GH34	Bacteria
A0A372J6Y8	supprimé d'UniProt
A0A372JE71	Bacteria
A0A373DYA9	supprimé d'UniProt
A0A376CJ72	Bacteria
A0A378TIM5	Bacteria
A0A378Y891	Bacteria
A0A379M3Y2	Bacteria
A0A383S857	Bacteria
A0A384I2K8	supprimé d'UniProt
A0A387B7U8	Bacteria
A0A387BF60	Bacteria
A0A387HEY2	Bacteria
A0A399H2Z6	supprimé d'UniProt
A0A399JBJ9	Bacteria
A0A3A1U1X3	Bacteria
A0A3A3ZML8	Bacteria
A0A3A4B0Z8	Bacteria
A0A3A4FB60	Bacteria
A0A3A4KL32	Bacteria
A0A3A5HBE7	Bacteria
A0A3A9HJ27	supprimé d'UniProt
A0A3A9YLW5	Bacteria
A0A3A9Z5N4	Bacteria
A0A3B0BAC8	supprimé d'UniProt
A0A3B0BFJ1	Bacteria
A0A3B7DJG5	supprimé d'UniProt
A0A3D9LHV8	Bacteria
A0A3D9SJM8	Bacteria
A0A3D9V2S2	Bacteria
A0A3E0DQD3	Bacteria
A0A3E0VJZ4	Bacteria
A0A3E2YJP0	supprimé d'UniProt
A0A3G2JH20	Bacteria
A0A3G6J3U6	Bacteria
A0A3G6J4Y4	Bacteria
A0A3G6ZNG2	supprimé d'UniProt
A0A3G8JJG7	Bacteria
A0A3G9IG74	Bacteria
A0A3L6ZNM8	Bacteria
A0A3L7AMP8	Bacteria
A0A3L8P641	Bacteria
A0A3M0BK66	Bacteria
A0A3M0GLY7	Bacteria
A0A3M0I746	Bacteria
A0A3M2IRZ4	Bacteria
A0A3M2LBG2	Bacteria
A0A3M2LVJ9	Bacteria
A0A3M6V817	Eukaryota
A0A3M6VAT6	Eukaryota
A0A3M8AD82	Bacteria
A0A3M8K803	Bacteria
A0A3M8LH21	Bacteria
A0A3M8Q5V8	Bacteria
A0A3M9MEI8	Bacteria
A0A3N0C710	Bacteria
A0A3N0CDD9	Bacteria
A0A3N0E0T6	Bacteria
A0A3N0E4Z0	Bacteria
A0A3N0GZ74	Bacteria
A0A3N1A4T4	supprimé d'UniProt
A0A3N1CN75	Bacteria
A0A3N1HNJ8	Bacteria
A0A3N1QNX1	supprimé d'UniProt
A0A3N2BAP0	Bacteria
A0A3N2D844	Bacteria
A0A3N2FFM5	supprimé d'UniProt
A0A3N2IED0	supprimé d'UniProt
A0A3N2JZ29	supprimé d'UniProt
A0A3N2PAW6	supprimé d'UniProt
A0A3N3ZPE9	Bacteria
A0A3N4CYX9	Bacteria
A0A3N4SKQ1	supprimé d'UniProt
A0A3N4YKY8	Bacteria
A0A3N4ZK92	Bacteria
A0A3N4ZKG5	supprimé d'UniProt
A0A3N5A8V8	supprimé d'UniProt
A0A3N6D7H3	supprimé d'UniProt
A0A3N6FIH9	supprimé d'UniProt
A0A3N6FN50	supprimé d'UniProt
A0A3N6FVC1	supprimé d'UniProt
A0A3N6WS43	Bacteria
A0A3N9UGG6	supprimé d'UniProt
A0A3P1SDZ7	Bacteria
A0A3P1SP96	Bacteria
A0A3P1V6N3	Bacteria
A0A3P1WHT2	supprimé d'UniProt
A0A3P1XPW5	supprimé d'UniProt
A0A3P1XXP3	supprimé d'UniProt
A0A3P3VUD2	Bacteria
A0A3P5XIZ9	Bacteria
A0A3Q8W3Y6	supprimé d'UniProt
A0A3Q8WX36	Bacteria
A0A3Q9G5R7	Bacteria
A0A3Q9HSD0	Bacteria
A0A3R7HVX3	Eukaryota
A0A3R7I3C0	Bacteria
A0A3R7L3I4	Eukaryota
A0A3R8D3Y1	Eukaryota
A0A3R9DFJ1	Bacteria
A0A3R9UA89	supprimé d'UniProt
A0A3R9UTJ1	supprimé d'UniProt
A0A3S0BI39	supprimé d'UniProt
A0A3S3E108	Bacteria
A0A3S3ZTY4	Bacteria
A0A3S4WUZ0	Bacteria
A0A3S4X5B9	Bacteria
A0A3S5EH62	Bacteria
A0A3S9PHU9	Bacteria
A0A3S9WB99	Bacteria
A0A3T0Y350	supprimé d'UniProt
A0A401MJ97	supprimé d'UniProt
A0A411YJ19	Bacteria
A0A417Y576	Bacteria
A0A418Q9G6	Bacteria
A0A418UR42	supprimé d'UniProt
A0A419HF78	supprimé d'UniProt
A0A420WXX2	Bacteria
A0A420XKS9	Bacteria
A0A422N2V1	Eukaryota
A0A426JRL3	Bacteria
A0A426Q6V5	Bacteria
A0A426UGE6	supprimé d'UniProt
A0A428X9T1	supprimé d'UniProt
A0A429B7D9	supprimé d'UniProt
A0A429GA56	supprimé d'UniProt
A0A430F9U5	Bacteria
A0A430FM82	Bacteria
A0A430FSL4	Bacteria
A0A430FUK2	Bacteria
A0A430JU94	supprimé d'UniProt
A0A433GYX9	supprimé d'UniProt
A0A437QAV9	Bacteria
A0A438MGI0	Bacteria
A0A448I0Q3	Bacteria
A0A448IYJ3	Bacteria
A0A448K982	Bacteria
A0A448ZFV9	Eukaryota
A0A448ZKR0	Eukaryota
A0A485L0L8	Eukaryota
A0A494V2Q1	Bacteria
A0A495IIS1	Bacteria
A0A495JPF2	Bacteria
A0A495VSZ5	Bacteria
A0A495X9Y6	Bacteria
A0A495XZ40	Bacteria
A0A496PK47	Bacteria
A0A497XNY9	Bacteria
A0A498C914	Bacteria
A0A498E8Z4	supprimé d'UniProt
A0A498QWR1	Bacteria
A0A4D9CR71	Eukaryota
A0A4P6EIX6	Bacteria
A0A4P6F6Z1	Bacteria
A0A4P6FIE3	Bacteria
A0A4P6KD52	Bacteria
A0A4P6Q560	Bacteria
A0A4P6TYX6	Bacteria
A0A4P6UDQ9	supprimé d'UniProt
A0A4P7GJL6	Bacteria
A0A4P7IBZ4	Bacteria
A0A4P7QF10	Bacteria
A0A4P8HC84	supprimé d'UniProt
A0A4P8TMC1	supprimé d'UniProt
A0A4P9JBN5	supprimé d'UniProt
A0A4Q2EHL0	Bacteria
A0A4Q2KZ34	Bacteria
A0A4Q2M0A2	Bacteria
A0A4Q2S7U0	Bacteria
A0A4Q2SW64	Bacteria
A0A4Q3XKI1	supprimé d'UniProt
A0A4Q4Z6I2	Bacteria
A0A4Q5J7W8	Bacteria
A0A4Q5MY24	Bacteria
A0A4Q6ILD0	supprimé d'UniProt
A0A4Q6V4K2	supprimé d'UniProt
A0A4Q7J8G2	Bacteria
A0A4Q7KLD0	Bacteria
A0A4Q7M2X0	Bacteria
A0A4Q7NPV6	Bacteria
A0A4Q7UQD1	Bacteria
A0A4Q7WX87	supprimé d'UniProt
A0A4Q7YB75	Bacteria
A0A4Q7ZP71	Bacteria
A0A4Q8AD19	Bacteria
A0A4Q8B7B3	Bacteria
A0A4Q9GR70	Bacteria
A0A4Q9HWY7	Bacteria
A0A4Q9KB54	Bacteria
A0A4Q9KKS5	Bacteria
A0A4Q9V261	Bacteria
A0A4R1AMD7	supprimé d'UniProt
A0A4R1BG77	Bacteria
A0A4R1CDI6	Bacteria
A0A4R1HV54	Bacteria
A0A4R2C9D6	supprimé d'UniProt
A0A4R2IVI0	Bacteria
A0A4R2JWA9	Bacteria
A0A4R2L3P0	Bacteria
A0A4R2R9J7	Bacteria
A0A4R4L1D1	supprimé d'UniProt
A0A4R4NQF4	Bacteria
A0A4R4PMM3	supprimé d'UniProt
A0A4R4T8D2	Bacteria
A0A4R4WE79	Bacteria
A0A4R4XIY4	supprimé d'UniProt
A0A4R4YTE9	Bacteria
A0A4R5ADN4	Bacteria
A0A4R5AHS2	Bacteria
A0A4R5BIH6	Bacteria
A0A4R5CNK5	Bacteria
A0A4R5KNF3	Bacteria
A0A4R5LRW6	Bacteria
A0A4R6GED7	supprimé d'UniProt
A0A4R6K8H6	Bacteria
A0A4R6PVV2	Bacteria
A0A4R6S3X5	Bacteria
A0A4R6SIX7	Bacteria
A0A4R6V3Q0	Bacteria
A0A4R7HWR7	Bacteria
A0A4R7J5C6	Bacteria
A0A4R7TGD8	Bacteria
A0A4R7V974	Bacteria
A0A4R8GGN6	Bacteria
A0A4R8MGG3	Bacteria
A0A4R8R6P2	Bacteria
A0A4R8WLW9	supprimé d'UniProt
A0A4R8XXD9	Bacteria
A0A4R8ZHY6	Bacteria
A0A4R9A7P3	Bacteria
A0A4R9BFS3	Bacteria
A0A4R9EY81	supprimé d'UniProt
A0A4S2REL4	supprimé d'UniProt
A0A4S2TC39	supprimé d'UniProt
A0A4S2TTL3	supprimé d'UniProt
A0A4S4FE57	Bacteria
A0A4S4G0M2	Bacteria
A0A4S5EHP3	Bacteria
A0A4S8NMK0	Bacteria
A0A4S8PR67	Bacteria
A0A4S8QCI3	Bacteria
A0A4T0UT99	supprimé d'UniProt
A0A4T0V7I0	supprimé d'UniProt
A0A4U0MPP7	Bacteria
A0A4U0SJN4	Bacteria
A0A4U2YH78	Bacteria
A0A4U3CE08	supprimé d'UniProt
A0A4U3MJJ6	Bacteria
A0A4U6N3S2	supprimé d'UniProt
A0A4V0YDJ3	Bacteria
A0A4V1CP88	supprimé d'UniProt
A0A4V1EQ46	supprimé d'UniProt
A0A4V1FC07	supprimé d'UniProt
A0A4V1VGN7	supprimé d'UniProt
A0A4V2EXI3	Bacteria
A0A4V2RL76	supprimé d'UniProt
A0A4V2XV44	supprimé d'UniProt
A0A4V3AMG0	Bacteria
A0A4V3I9R3	Bacteria
A0A4V3Z5U2	Bacteria
A0A4V4RDE1	Bacteria
A0A4V5LZZ7	supprimé d'UniProt
A0A4V6CSI1	Bacteria
A0A4V6S6F7	supprimé d'UniProt
A0A4Y3NA70	Bacteria
A0A4Y3QVI0	Bacteria
A0A4Y3RRC2	Bacteria
A0A4Y3ULH9	Bacteria
A0A4Y3VIQ2	Bacteria
A0A4Y3WQQ3	Bacteria
A0A4Y4DWM9	Bacteria
A0A4Y4F7C4	Bacteria
A0A4Y8KKP9	Bacteria
A0A4Y9FX47	Bacteria
A0A4Y9MG64	supprimé d'UniProt
A0A4Y9NH11	supprimé d'UniProt
A0A4Y9NX04	supprimé d'UniProt
A0A4Y9PSJ2	supprimé d'UniProt
A0A4Y9PVM0	supprimé d'UniProt
A0A4Z0GJG8	Bacteria
A0A4Z0M5D2	Bacteria
A0A4Z1E322	Bacteria
A0A501WN62	Bacteria
A0A505D5V0	Bacteria
A0A506XTM0	supprimé d'UniProt
A0A509ALH6	Eukaryota
A0A510TFI4	supprimé d'UniProt
A0A510UTR3	Bacteria
A0A510X9B1	Bacteria
A0A511AHQ8	Bacteria
A0A511D680	Bacteria
A0A511DFI4	Bacteria
A0A511F981	Bacteria
A0A511JAD4	Bacteria
A0A511UNR4	Bacteria
A0A511YWV7	Bacteria
A0A512D3N8	Bacteria
A0A512DDV6	Bacteria
A0A512HWL2	Bacteria
A0A512PG05	Bacteria
A0A512SX88	Bacteria
A0A514JUU8	Bacteria
A0A516GE10	Bacteria
A0A516Q3D4	Bacteria
A0A516X1Y1	Bacteria
A0A517YYP1	Bacteria
A0A518C063	Bacteria
A0A520E360	supprimé d'UniProt
A0A520EM15	supprimé d'UniProt
A0A540W3W5	Bacteria
A0A541BPX6	Bacteria
A0A542DQT9	Bacteria
A0A542E1I7	Bacteria
A0A542FW35	supprimé d'UniProt
A0A542Q4L5	supprimé d'UniProt
A0A542SNV5	Bacteria
A0A542UR06	supprimé d'UniProt
A0A542XEP0	Bacteria
A0A542YGS8	Bacteria
A0A542YVI4	Bacteria
A0A542ZC83	Bacteria
A0A542ZFG3	Bacteria
A0A542ZTY7	Bacteria
A0A543AFH6	Bacteria
A0A543AUH7	Bacteria
A0A543BPQ7	Bacteria
A0A543CFG3	Bacteria
A0A543F1K9	Bacteria
A0A543FYH6	non retourné par UniProt
A0A543HY60	non retourné par UniProt
A0A543I0P6	non retourné par UniProt
A0A543IAH4	non retourné par UniProt
A0A543ISQ5	non retourné par UniProt
A0A543KKV2	non retourné par UniProt
A0A543NM68	non retourné par UniProt
A0A545AGS8	non retourné par UniProt
A0A550HV72	non retourné par UniProt
A0A552WKF8	non retourné par UniProt
A0A553K1Y0	non retourné par UniProt
A0A553ZL09	non retourné par UniProt
A0A554V463	non retourné par UniProt
A0A554VYW9	non retourné par UniProt
A0A557Y064	non retourné par UniProt
A0A558A8Y8	non retourné par UniProt
A0A558CVC4	non retourné par UniProt
A0A560WD89	non retourné par UniProt
A0A561BJC2	non retourné par UniProt
A0A561E891	non retourné par UniProt
A0A561EUC5	non retourné par UniProt
A0A561UFT2	non retourné par UniProt
A0A561VQ49	non retourné par UniProt
A0A562CDV3	non retourné par UniProt
A0A562IBK5	non retourné par UniProt
A0A562ILE6	non retourné par UniProt
A0A562V357	non retourné par UniProt
A0A563DT92	non retourné par UniProt
A0A563ENC8	non retourné par UniProt
A0A5A7NSK1	non retourné par UniProt
A0A5A7SFI1	non retourné par UniProt
A0A5A7WK59	non retourné par UniProt
A0A5A9W302	non retourné par UniProt
A0A5A9ZPU3	non retourné par UniProt
A0A5B0APZ9	non retourné par UniProt
A0A5B1LGD6	non retourné par UniProt
A0A5B1M1P5	non retourné par UniProt
A0A5B2WYZ5	non retourné par UniProt
A0A5B7R762	non retourné par UniProt
A0A5B7UUJ9	non retourné par UniProt
A0A5B7WR05	non retourné par UniProt
A0A5B8JHZ0	non retourné par UniProt
A0A5B8JKN4	non retourné par UniProt
A0A5B8M3Y0	non retourné par UniProt
A0A5B8NV85	non retourné par UniProt
A0A5B8SRG7	non retourné par UniProt
A0A5B9G4M9	non retourné par UniProt
A0A5C1Y688	non retourné par UniProt
A0A5C1YKX0	non retourné par UniProt
A0A5C4MBA5	non retourné par UniProt
A0A5C4U6U6	Bacteria
A0A5C4VIE8	Bacteria
A0A5C4VQ21	Bacteria
A0A5C4XW75	supprimé d'UniProt
A0A5C5BBY9	Bacteria
A0A5C5UE11	Bacteria
A0A5C8HPJ4	Bacteria
A0A5C8I990	Bacteria
A0A5C8IH44	supprimé d'UniProt
A0A5C8JIU7	supprimé d'UniProt
A0A5C8NEZ6	Bacteria
A0A5C8UU53	Bacteria
A0A5C8ZSU8	Bacteria
A0A5D0NQD0	Bacteria
A0A5D0SER9	supprimé d'UniProt
A0A5J5IYT9	Bacteria
A0A5J5KYP6	Bacteria
A0A5J6FDF8	Bacteria
A0A5J6HJ92	Bacteria
A0A5J6V238	Bacteria
A0A5J6ZBU9	Bacteria
A0A5M3WFP3	Bacteria
A0A5M3XR01	Bacteria
A0A5N0TA74	Bacteria
A0A5N0UVQ6	Bacteria
A0A5N5RFY5	Bacteria
A0A5N5VH89	Bacteria
A0A5N5W2A1	Bacteria
A0A5N6MH19	Bacteria
A0A5N8VGJ4	Bacteria
A0A5N8WHG6	Bacteria
A0A5N8X165	Bacteria
A0A5N8XWT0	Bacteria
A0A5P0YYE2	Bacteria
A0A5P1RF57	Bacteria
A0A5P2BCH3	Bacteria
A0A5P8K5N2	Bacteria
A0A5P9HGM4	supprimé d'UniProt
A0A5P9IIR4	supprimé d'UniProt
A0A5P9NJF7	Bacteria
A0A5P9PDD0	supprimé d'UniProt
A0A5P9QFK4	Bacteria
A0A5Q0GRF9	Bacteria
A0A5Q0LR22	Bacteria
A0A5Q0NXV0	supprimé d'UniProt
A0A5Q2FE55	Bacteria
A0A5Q2MNA2	Bacteria
A0A5Q2RQ01	Bacteria
A0A5Q2VWN6	supprimé d'UniProt
A0A5Q3QAV8	Bacteria
A0A5R8YUP8	Bacteria
A0A5R9LWM6	supprimé d'UniProt
A0A5S4GIC9	Bacteria
A0A5S4UTD6	Bacteria
A0A5S9QHK0	Bacteria
A0A5S9R7Z0	Bacteria
A0A640UTQ1	Bacteria
A0A646KHS6	Bacteria
A0A652JZJ7	supprimé d'UniProt
A0A652L1T7	supprimé d'UniProt
A0A653VKB6	supprimé d'UniProt
A0A662WIP8	supprimé d'UniProt
A0A662XNH5	supprimé d'UniProt
A0A6A3EY96	Eukaryota
A0A6A3G7T8	Eukaryota
A0A6A3MUS4	Eukaryota
A0A6A3P2Z8	Eukaryota
A0A6A5CBS0	Eukaryota
A0A6A9UVD9	Bacteria
A0A6B2RTG1	supprimé d'UniProt
A0A6B2V2A6	supprimé d'UniProt
A0A6B2XCE2	supprimé d'UniProt
A0A6B3ASQ3	supprimé d'UniProt
A0A6B3FW97	supprimé d'UniProt
A0A6B3FZQ3	supprimé d'UniProt
A0A6B3HHK6	supprimé d'UniProt
A0A6B3HUN0	supprimé d'UniProt
A0A6B8W306	Bacteria
A0A6B8W508	Bacteria
A0A6C0Q248	supprimé d'UniProt
A0A6C0U467	Bacteria
A0A6C7EA97	Bacteria
A0A6F8Y694	Bacteria
A0A6F8YLL0	Bacteria
A0A6G0WVN6	Eukaryota
A0A6G2BBT3	Bacteria
A0A6G2RT37	supprimé d'UniProt
A0A6G2VMN4	supprimé d'UniProt
A0A6G3SDY0	supprimé d'UniProt
A0A6G4U4X6	Bacteria
A0A6G4VGH5	Bacteria
A0A6G4WVS9	Bacteria
A0A6G6WLN0	Bacteria
A0A6G7XJE4	Bacteria
A0A6G7XLH1	supprimé d'UniProt
A0A6G7Y4G3	Bacteria
A0A6G7YBS7	Bacteria
A0A6G7Z586	supprimé d'UniProt
A0A6G8FKN8	Bacteria
A0A6G8FZA9	supprimé d'UniProt
A0A6G8PYT8	Bacteria
A0A6G8Q7E4	Bacteria
A0A6G9YVA5	Bacteria
A0A6H0CN90	supprimé d'UniProt
A0A6H1A6E2	supprimé d'UniProt
A0A6H1RGH6	supprimé d'UniProt
A0A6H5JYJ7	supprimé d'UniProt
A0A6H5L3F4	supprimé d'UniProt
A0A6H9UWJ4	Bacteria
A0A6H9WFA3	Bacteria
A0A6H9WR48	supprimé d'UniProt
A0A6H9YII1	Bacteria
A0A6I0FQJ1	supprimé d'UniProt
A0A6I1G4R8	supprimé d'UniProt
A0A6I1GDK3	Bacteria
A0A6I1Z7T2	supprimé d'UniProt
A0A6I2FDZ4	Bacteria
A0A6I2FN89	supprimé d'UniProt
A0A6I2FRE7	supprimé d'UniProt
A0A6I3IPY1	Bacteria
A0A6I3IYE9	Bacteria
A0A6I3L0X8	Bacteria
A0A6I3LBF5	supprimé d'UniProt
A0A6I4MK97	Bacteria
A0A6I4N355	supprimé d'UniProt
A0A6I4P4Q7	Bacteria
A0A6I5CG22	supprimé d'UniProt
A0A6I5MZQ2	Bacteria
A0A6I5VJS2	supprimé d'UniProt
A0A6I5WKC7	supprimé d'UniProt
A0A6I5XAU0	supprimé d'UniProt
A0A6I6A1B8	supprimé d'UniProt
A0A6I6DUL5	Bacteria
A0A6I6N164	Bacteria
A0A6L4WZF0	Bacteria
A0A6L5EWL2	supprimé d'UniProt
A0A6L5F494	supprimé d'UniProt
A0A6L5R7W8	Bacteria
A0A6L6XTS8	Bacteria
A0A6L7ESP1	Bacteria
A0A6L7GV49	Bacteria
A0A6L9S3Z6	Bacteria
A0A6L9Y0Y8	Bacteria
A0A6M4FQR3	supprimé d'UniProt
A0A6M4PPJ9	Bacteria
A0A6M5IU37	supprimé d'UniProt
A0A6M6JDY3	Bacteria
A0A6N2HYS6	supprimé d'UniProt
A0A6N4VGA4	Bacteria
A0A6N4WAD9	Bacteria
A0A6N7CXB0	supprimé d'UniProt
A0A6N7EP94	Bacteria
A0A6N7G9Y3	supprimé d'UniProt
A0A6N7HU96	supprimé d'UniProt
A0A6N7IAD3	supprimé d'UniProt
A0A6N7KT50	Bacteria
A0A6N7Z5W2	Bacteria
A0A6N9H927	Bacteria
A0A6N9YJQ8	Bacteria
A0A6P0H9K4	Bacteria
A0A6P0HKW5	Bacteria
A0A6P2BL32	Bacteria
A0A6V8K9K5	Bacteria
A0A6V8KR93	Bacteria
A0A6V8KX20	Bacteria
A0A6V8NFX8	Bacteria
A0A7C8BMI9	Bacteria
A0A7C9TPE7	Bacteria
A0A7D4QH67	Bacteria
A0A7D6ZLG6	Bacteria
A0A7G1G2N4	Bacteria
A0A7G1I884	Bacteria
A0A7G1KDG6	Bacteria
A0A7G1NZG7	Bacteria
A0A7G2C5F5	Eukaryota
A0A7G5LYM1	supprimé d'UniProt
A0A7G5ZNA4	supprimé d'UniProt
A0A7G6WIX2	supprimé d'UniProt
A0A7G6ZA56	supprimé d'UniProt
A0A7G7BNJ8	Bacteria
A0A7G7CNU1	Bacteria
A0A7G8WKR3	supprimé d'UniProt
A0A7G9R7N6	Bacteria
A0A7G9S4K4	Bacteria
A0A7G9XNB2	supprimé d'UniProt
A0A7H0H2A4	Bacteria
A0A7H0HT13	Bacteria
A0A7H0SN06	Bacteria
A0A7H1BAP3	Bacteria
A0A7H2BIK9	Bacteria
A0A7H8IPJ3	supprimé d'UniProt
A0A7H8N7B1	Bacteria
A0A7I7K8W9	Bacteria
A0A7I7KXN6	Bacteria
A0A7I7MKG8	Bacteria
A0A7I7QZA4	Bacteria
A0A7I7SL92	Bacteria
A0A7I7XLE6	Bacteria
A0A7I7XS36	Bacteria
A0A7I7YK53	Bacteria
A0A7I7Z2B3	Bacteria
A0A7I9UVX3	Bacteria
A0A7I9XYM9	Bacteria
A0A7J0C4X0	Bacteria
A0A7J5BB36	Bacteria
A0A7J5BWL3	Bacteria
A0A7J5X045	supprimé d'UniProt
A0A7J9UTZ6	Bacteria
A0A7J9VRK3	supprimé d'UniProt
A0A7J9W988	supprimé d'UniProt
A0A7K0BS49	Bacteria
A0A7K0CS06	Bacteria
A0A7K0D1Z0	Bacteria
A0A7K0DIL9	Bacteria
A0A7K1FHM4	Bacteria
A0A7K1GWA7	supprimé d'UniProt
A0A7K1J2Y5	Bacteria
A0A7K1L6D2	Bacteria
A0A7K1UJH6	Bacteria
A0A7K2FQQ4	supprimé d'UniProt
A0A7K2JJV3	supprimé d'UniProt
A0A7K2Q3A1	supprimé d'UniProt
A0A7K2TIV6	supprimé d'UniProt
A0A7K2ZA69	supprimé d'UniProt
A0A7K3ABY3	supprimé d'UniProt
A0A7K3DNZ0	supprimé d'UniProt
A0A7K3GGS9	supprimé d'UniProt
A0A7K3LQB9	Bacteria
A0A7K3M9B2	Bacteria
A0A7K3WGF5	Bacteria
A0A7L4Y0J0	supprimé d'UniProt
A0A7L4YQ87	Bacteria
A0A7L5AM28	Bacteria
A0A7L5SV88	supprimé d'UniProt
A0A7L5ZK27	supprimé d'UniProt
A0A7L8D7R4	supprimé d'UniProt
A0A7M1SVT4	Bacteria
A0A7M2C456	supprimé d'UniProt
A0A7M2SPE0	Bacteria
A0A7M2TEA2	Bacteria
A0A7M2YV50	Bacteria
A0A7M3LRG9	supprimé d'UniProt
A0A7M4DJ26	Bacteria
A0A7R6PJN1	Bacteria
A0A7R6SUY1	Bacteria
A0A7R7GSU3	Bacteria
A0A7S8MV55	Bacteria
A0A7T0KFK0	Bacteria
A0A7T0KM32	supprimé d'UniProt
A0A7T0LL30	Bacteria
A0A7T7M921	Bacteria
A0A7U3VNL4	Bacteria
A0A7U8C9T1	Bacteria
A0A7V8NBY0	supprimé d'UniProt
A0A7W0HU41	Bacteria
A0A7W2ADI2	Bacteria
A0A7W2TVC0	Bacteria
A0A7W3IST6	Bacteria
A0A7W3JN44	Bacteria
A0A7W3JRW0	Bacteria
A0A7W3LI16	Bacteria
A0A7W3PFU5	Bacteria
A0A7W3R8I0	Bacteria
A0A7W3Y1J1	Bacteria
A0A7W4VUA7	Bacteria
A0A7W5AKR6	Bacteria
A0A7W5JYB8	Bacteria
A0A7W5TU52	Bacteria
A0A7W5YR61	Bacteria
A0A7W7C6N0	Bacteria
A0A7W7CV42	Bacteria
A0A7W7DW96	Bacteria
A0A7W7FI82	Bacteria
A0A7W7GVI8	Bacteria
A0A7W7LBA8	Bacteria
A0A7W7LQX4	Bacteria
A0A7W7M2L4	Bacteria
A0A7W7MTH4	Bacteria
A0A7W7QDQ6	Bacteria
A0A7W7QQP7	Bacteria
A0A7W7R1X4	Bacteria
A0A7W7RCZ6	Bacteria
A0A7W7RSX1	Bacteria
A0A7W7SNJ0	Bacteria
A0A7W7T8J7	Bacteria
A0A7W8A8Y9	Bacteria
A0A7W8QQ19	Bacteria
A0A7W8Z4I9	Bacteria
A0A7W9FBR1	Bacteria
A0A7W9HTA4	Bacteria
A0A7W9L8S5	Bacteria
A0A7W9MHE8	Bacteria
A0A7W9NGJ7	Bacteria
A0A7W9PAU3	Bacteria
A0A7W9PV91	Bacteria
A0A7W9QH75	Bacteria
A0A7X0BY36	Bacteria
A0A7X0FRK2	Bacteria
A0A7X0G865	Bacteria
A0A7X0H638	Bacteria
A0A7X0HF89	Bacteria
A0A7X0MAS9	Bacteria
A0A7X0RF02	Bacteria
A0A7X1I5F6	Bacteria
A0A7X3KQY9	Bacteria
A0A7X5ANH4	Bacteria
A0A7X5QY69	Bacteria
A0A7X6D0M8	Bacteria
A0A7X6HA13	Bacteria
A0A7X6KS22	Bacteria
A0A7X6R1Q4	Bacteria
A0A7X8TKQ1	Bacteria
A0A7Y0BBS9	supprimé d'UniProt
A0A7Y0EPU1	Bacteria
A0A7Y0HXL0	Bacteria
A0A7Y0KER1	supprimé d'UniProt
A0A7Y0M1H4	Bacteria
A0A7Y0P7K7	supprimé d'UniProt
A0A7Y2LXP5	Bacteria
A0A7Y3TX94	Bacteria
A0A7Y4L6J2	Bacteria
A0A7Y6E956	supprimé d'UniProt
A0A7Y6ID04	Bacteria
A0A7Y7B7K0	Bacteria
A0A7Y7CU93	supprimé d'UniProt
A0A7Y7IJM1	Bacteria
A0A7Y9BMD8	supprimé d'UniProt
A0A7Y9E1G6	Bacteria
A0A7Y9E8P3	Bacteria
A0A7Y9EU41	Bacteria
A0A7Y9GNV4	Bacteria
A0A7Y9H0F9	Bacteria
A0A7Y9I577	Bacteria
A0A7Y9J270	Bacteria
A0A7Y9LVW7	Bacteria
A0A7Y9MD36	supprimé d'UniProt
A0A7Y9RZ85	Bacteria
A0A7Y9S1N7	Bacteria
A0A7Y9ZBH1	Bacteria
A0A7Z0C2V0	Bacteria
A0A7Z0D2V5	Bacteria
A0A7Z0DA72	Bacteria
A0A7Z0EDV6	Bacteria
A0A7Z0GJG5	Bacteria
A0A7Z0LKJ6	Bacteria
A0A7Z0WNB6	Bacteria
A0A7Z1AIJ8	supprimé d'UniProt
A0A7Z7IP79	Bacteria
A0A810KUP0	Bacteria
A0A810MYG9	Bacteria
A0A810NC67	supprimé d'UniProt
