id	accession	organism_code	organism_name	order	uniprot_length	module_len	tail_len	total_len
A0A0D8HSQ5_RHOSX/2-67	A0A0D8HSQ5	RHOSX		None		32	34	66
A0A7I7XME3_9MYCO/2-62	A0A7I7XME3	9MYCO	Mycolicibacterium madagascariense	Mycobacteriales	62	32	29	61
A0A2P8EFL2_9ACTN/2-67	A0A2P8EFL2	9ACTN	Haloactinopolyspora alba	Jiangellales	68	32	34	66
A0A1M4U8Y3_STRHI/2-60	A0A1M4U8Y3	STRHI	Streptoalloteichus hindustanus	Pseudonocardiales	60	32	27	59
A0A3N6GX95_9ACTN/2-77	A0A3N6GX95	9ACTN		None		32	44	76
A0A2U2ZW62_9ACTN/2-82	A0A2U2ZW62	9ACTN		None		32	49	81
A0A418Q617_9CORY/2-78	A0A418Q617	9CORY	Corynebacterium falsenii	Mycobacteriales	84	32	45	77
D5UKC8_CELFN/2-67	D5UKC8	CELFN	Cellulomonas flavigena (strain ATCC 482 / DSM 20109 / BCRC 11376 / JCM 18109 / NBRC 3775 / NCIMB 8073 / NRS 134)	Micrococcales	68	32	34	66
A0A0Q4V4I8_9MICO/2-67	A0A0Q4V4I8	9MICO		None		32	34	66
A0A2U2RPD0_9MICO/2-64	A0A2U2RPD0	9MICO	Brachybacterium endophyticum	Micrococcales	67	32	31	63
A0A1C6RGL0_9ACTN/2-67	A0A1C6RGL0	9ACTN	Micromonospora inyonensis	Micromonosporales	71	32	34	66
A0A6I4NSW1_9MICO/2-65	A0A6I4NSW1	9MICO	Agromyces seonyuensis	Micrococcales	66	32	32	64
A0A438MIK3_9ACTN/2-68	A0A438MIK3	9ACTN	Nonomuraea polychroma	Streptosporangiales	75	32	35	67
A0A318LU83_9PSEU/2-62	A0A318LU83	9PSEU	Prauserella flavalba	Pseudonocardiales	63	32	29	61
W6JVX1_9MICO/2-65	W6JVX1	9MICO	Nostocoides australiense Ben110	Micrococcales	65	32	32	64
B8DV66_BIFA0/2-73	B8DV66	BIFA0	Bifidobacterium animalis subsp. lactis (strain AD011)	Bifidobacteriales	115	32	40	72
A0A7W7PMJ7_9ACTN/2-65	A0A7W7PMJ7	9ACTN	Streptomyces olivoverticillatus	Kitasatosporales	85	32	32	64
A0A3S8WWY0_9ACTN/2-79	A0A3S8WWY0	9ACTN		None		32	46	78
A0A8J3BPA2_9ACTN/2-64	A0A8J3BPA2	9ACTN	Pilimelia terevasa	Micromonosporales	64	32	31	63
A0A2A3YM38_9MICO/2-63	A0A2A3YM38	9MICO	Brachybacterium alimentarium	Micrococcales	65	32	30	62
A0A7W9IIJ4_9ACTN/2-63	A0A7W9IIJ4	9ACTN	Streptosporangium becharense	Streptosporangiales	77	32	30	62
A0A4R2CIK1_9ACTN/2-63	A0A4R2CIK1	9ACTN		None		32	30	62
A0A4Q6V070_9ACTN/2-64	A0A4Q6V070	9ACTN		None		32	31	63
A0A1I6KEX6_9MICO/2-58	A0A1I6KEX6	9MICO		None		32	25	57
A0A1E5PTT9_9ACTN/2-82	A0A1E5PTT9	9ACTN	Streptomyces subrutilus	Kitasatosporales	86	32	49	81
A0A7I9UV80_9ACTN/44-97	A0A7I9UV80	9ACTN	Gordonia crocea	Mycobacteriales	98	32	22	54
A0A344URS4_9ACTN/2-66	A0A344URS4	9ACTN	Acidipropionibacterium virtanenii	Propionibacteriales	68	32	33	65
A0A6I6S187_9ACTN/2-64	A0A6I6S187	9ACTN		None		32	31	63
A0A4Q2M9A7_9MICO/2-62	A0A4Q2M9A7	9MICO	Agromyces atrinae	Micrococcales	63	32	29	61
A0A6I4MS23_9ACTN/2-64	A0A6I4MS23	9ACTN	Actinomadura physcomitrii	Streptosporangiales	68	32	31	63
A0A0D4C073_9MICC/2-64	A0A0D4C073	9MICC	Psychromicrobium lacuslunae	Micrococcales	71	32	31	63
A0A1H5KDA4_9MICO/2-59	A0A1H5KDA4	9MICO	Ruania alba	Micrococcales	63	32	26	58
A1SPS6_NOCSJ/2-61	A1SPS6	NOCSJ		None		32	28	60
A0A6I6N6K2_9ACTN/2-65	A0A6I6N6K2	9ACTN	Streptomyces broussonetiae	Kitasatosporales	85	32	32	64
A0A0H4CFM8_9ACTN/2-80	A0A0H4CFM8	9ACTN		None		32	47	79
A0A940PVU2_9MICO/2-61	A0A940PVU2	9MICO	Leucobacter exalbidus	Micrococcales	61	32	28	60
A0A4R4Z994_9PSEU/2-61	A0A4R4Z994	9PSEU	Saccharopolyspora elongata	Pseudonocardiales	62	32	28	60
A0A0L8KYH1_9ACTN/2-64	A0A0L8KYH1	9ACTN	Streptomyces resistomycificus	Kitasatosporales	84	32	31	63
A0A0M4QJB3_9PSEU/2-63	A0A0M4QJB3	9PSEU		None		32	30	62
A0A8H9LFE2_9ACTO/20-85	A0A8H9LFE2	9ACTO	Actinomyces gaoshouyii	Actinomycetales	96	32	34	66
A0A5M3Y2D6_9ACTN/2-64	A0A5M3Y2D6	9ACTN	Acrocarpospora pleiomorpha	Streptosporangiales	77	32	31	63
A0A839E6E8_9PSEU/1-48	A0A839E6E8	9PSEU	Halosaccharopolyspora lacisalsi	Pseudonocardiales	48	21	27	48
S3BRV3_9ACTN/2-80	S3BRV3	9ACTN		None		32	47	79
A0A561UGT5_9ACTN/2-79	A0A561UGT5	9ACTN	Kitasatospora viridis	Kitasatosporales	82	32	46	78
A0A8J3QF84_9ACTN/2-71	A0A8J3QF84	9ACTN	Rhizocola hellebori	Micromonosporales	71	32	38	70
A0A918GID6_9ACTN/2-81	A0A918GID6	9ACTN	Streptomyces griseoviridis	Kitasatosporales	85	32	48	80
A0A0K1JPP5_9MICO/2-64	A0A0K1JPP5	9MICO	Luteipulveratus mongoliensis	Micrococcales	68	32	31	63
A0A1G6W8N4_9ACTN/2-73	A0A1G6W8N4	9ACTN	Auraticoccus monumenti	Propionibacteriales	74	32	40	72
A0A5B1LP31_9ACTN/2-58	A0A5B1LP31	9ACTN	Nocardioides humilatus	Propionibacteriales	61	32	25	57
A0AAE3YVX3_9ACTN/1-58	A0AAE3YVX3	9ACTN	Catenuloplanes atrovinosus	Micromonosporales	62	21	37	58
A0A4Y9PXT8_9MICO/2-58	A0A4Y9PXT8	9MICO		None		32	25	57
A0A975SUL9_9ACTO/2-81	A0A975SUL9	9ACTO		None		32	48	80
A0A7G6ZBI2_9MICO/2-80	A0A7G6ZBI2	9MICO		None		32	47	79
A0A1E5P9M1_9ACTN/2-81	A0A1E5P9M1	9ACTN	Streptomyces agglomeratus	Kitasatosporales	86	32	48	80
A0A1H5MW00_9ACTN/2-64	A0A1H5MW00	9ACTN		None		32	31	63
A0A4V2RJ96_9NOCA/2-64	A0A4V2RJ96	9NOCA		None		32	31	63
A0A7I7SM44_9MYCO/2-61	A0A7I7SM44	9MYCO	Mycolicibacterium sarraceniae	Mycobacteriales	61	32	28	60
A0A7W7S1J6_9ACTN/1-43	A0A7W7S1J6	9ACTN	Streptosporangium album	Streptosporangiales	43	21	22	43
A0A0Q9C7U8_9CELL/2-69	A0A0Q9C7U8	9CELL		None		32	36	68
A0A2N6T6V8_9CORY/2-64	A0A2N6T6V8	9CORY	Corynebacterium tuscaniense	Mycobacteriales	70	32	31	63
A0A1I1EPE9_9ACTN/2-59	A0A1I1EPE9	9ACTN	Nocardioides terrae	Propionibacteriales	59	32	26	58
A0A8J3JFJ7_9ACTN/2-64	A0A8J3JFJ7	9ACTN	Actinocatenispora rupis	Micromonosporales	67	32	31	63
A0A1X1QY66_MYCBE/2-60	A0A1X1QY66	MYCBE	Mycobacterium bohemicum	Mycobacteriales	61	32	27	59
A0AAE3KNG0_9PSEU/2-62	A0AAE3KNG0	9PSEU	Goodfellowiella coeruleoviolacea	Pseudonocardiales	63	32	29	61
A0A255H8F7_9ACTN/2-66	A0A255H8F7	9ACTN	Enemella dayhoffiae	Propionibacteriales	72	32	33	65
A0A542ZD63_9ACTN/17-81	A0A542ZD63	9ACTN	Propioniferax innocua	Propionibacteriales	91	32	33	65
A0A7J5X3N7_9ACTN/2-58	A0A7J5X3N7	9ACTN		None		32	25	57
A0A919UXM7_9ACTN/2-59	A0A919UXM7	9ACTN	Sphaerisporangium rufum	Streptosporangiales	59	31	27	58
A0A2V1KAU0_9ACTO/2-65	A0A2V1KAU0	9ACTO	Ancrocorticia populi	Actinomycetales	69	32	32	64
A0A315ZQN0_9ACTN/2-64	A0A315ZQN0	9ACTN	Quadrisphaera granulorum	Kineosporiales	68	32	31	63
A0A2A9DNY5_9CORY/2-70	A0A2A9DNY5	9CORY	Corynebacterium renale	Mycobacteriales	77	32	37	69
A0A849BK47_9ACTN/2-62	A0A849BK47	9ACTN	Pseudokineococcus marinus	Kineosporiales	64	32	29	61
A0A387HCL7_9ACTN/2-84	A0A387HCL7	9ACTN	Streptomyces hundungensis	Kitasatosporales	87	32	51	83
D3Q079_STANL/2-66	D3Q079	STANL	Stackebrandtia nassauensis (strain DSM 44728 / CIP 108903 / NRRL B-16338 / NBRC 102104 / LLR-40K-21)	Glycomycetales	71	32	33	65
A0A2W1TQS0_9MICO/2-66	A0A2W1TQS0	9MICO		None		32	33	65
A0A7Y4L6A1_9ACTN/2-62	A0A7Y4L6A1	9ACTN	Kribbella sandramycini	Propionibacteriales	62	32	29	61
A0A6N4W735_9MYCO/2-61	A0A6N4W735	9MYCO	Mycolicibacterium anyangense	Mycobacteriales	61	32	28	60
A0A1E7JP54_9ACTN/2-82	A0A1E7JP54	9ACTN	Streptomyces abyssalis	Kitasatosporales	83	32	49	81
A0A7J9VKN2_9ACTN/2-68	A0A7J9VKN2	9ACTN		None		32	35	67
A0A919AG99_9ACTN/2-80	A0A919AG99	9ACTN	Streptomyces spiralis	Kitasatosporales	82	32	47	79
A0A3N5A828_9ACTN/2-80	A0A3N5A828	9ACTN		None		32	47	79
A0A0Q8ATB4_9MICO/2-63	A0A0Q8ATB4	9MICO		None		32	30	62
A0A6C0Q3U3_9ACTN/2-78	A0A6C0Q3U3	9ACTN		None		32	45	77
A0A7Y9LU49_9MICC/1-52	A0A7Y9LU49	9MICC	Psychromicrobium silvestre	Micrococcales	56	17	35	52
A0A7I7MVF9_9MYCO/2-62	A0A7I7MVF9	9MYCO	Mycobacterium shinjukuense	Mycobacteriales	62	32	29	61
A0A4R8WR37_9MICO/2-75	A0A4R8WR37	9MICO		None		32	42	74
A0A255EAQ6_9ACTN/2-72	A0A255EAQ6	9ACTN	Parenemella sanctibonifatiensis	Propionibacteriales	73	32	39	71
A0A0A6X7Z0_ACTUT/2-69	A0A0A6X7Z0	ACTUT	Actinoplanes utahensis	Micromonosporales	77	32	36	68
A0A5C8NF04_9ACTN/2-57	A0A5C8NF04	9ACTN	Aeromicrobium terrae	Propionibacteriales	58	32	24	56
A0A853ACS1_9PSEU/1-38	A0A853ACS1	9PSEU	Saccharopolyspora hordei	Pseudonocardiales	39	10	28	38
A0A849AKC9_9MICO/2-61	A0A849AKC9	9MICO	Flexivirga aerilata	Micrococcales	65	32	28	60
A0A4V6PEC3_9ACTN/2-62	A0A4V6PEC3	9ACTN	Actinomadura rubrisoli	Streptosporangiales	63	32	29	61
A0A1V0ALY1_9ACTN/2-69	A0A1V0ALY1	9ACTN	[Actinomadura] parvosata subsp. kistnae	Streptosporangiales	76	32	36	68
A0A7W9II29_9ACTN/2-55	A0A7W9II29	9ACTN	Streptosporangium becharense	Streptosporangiales	55	32	22	54
I3WFH9_BIFBI/2-80	I3WFH9	BIFBI		None		32	47	79
A0A246RT35_9ACTN/2-68	A0A246RT35	9ACTN	Micromonospora wenchangensis	Micromonosporales	72	32	35	67
A0A6I3JFU6_9ACTN/2-58	A0A6I3JFU6	9ACTN	Nocardioides marmotae	Propionibacteriales	61	32	25	57
A0A9E7BMV3_9MICO/2-63	A0A9E7BMV3	9MICO		None		32	30	62
G7CGL0_MYCT3/2-54	G7CGL0	MYCT3	Mycolicibacterium thermoresistibile (strain ATCC 19527 / DSM 44167 / CIP 105390 / JCM 6362 / NCTC 10409 / 316) (Mycobacterium thermoresistibile)	Mycobacteriales	54	32	21	53
A0A1V1W519_9ACTN/2-59	A0A1V1W519	9ACTN		None		32	26	58
A0A841DX00_9ACTN/2-61	A0A841DX00	9ACTN	Kribbella solani	Propionibacteriales	61	32	28	60
A0A164HXG6_9NOCA/2-70	A0A164HXG6	9NOCA	Nocardia terpenica	Mycobacteriales	70	32	37	69
A0A840XAE1_9MICO/2-64	A0A840XAE1	9MICO	Microcella frigidaquae	Micrococcales	71	32	31	63
A0A7T0PX22_9ACTO/2-68	A0A7T0PX22	9ACTO	Actinomyces respiraculi	Actinomycetales	68	32	35	67
A0A1S2PGI5_9ACTN/2-64	A0A1S2PGI5	9ACTN	Streptomyces colonosanans	Kitasatosporales	82	32	31	63
A0A2M9HLB1_9BIFI/2-80	A0A2M9HLB1	9BIFI	Bifidobacterium felsineum	Bifidobacteriales	122	32	47	79
A0A117PW16_9ACTN/2-80	A0A117PW16	9ACTN	Streptomyces cellostaticus	Kitasatosporales	83	32	47	79
A0A1A9C5C4_9ACTN/2-77	A0A1A9C5C4	9ACTN		None		32	44	76
A0ZZC6_BIFAA/2-85	A0ZZC6	BIFAA	Bifidobacterium adolescentis (strain ATCC 15703 / DSM 20083 / NCTC 11814 / E194a)	Bifidobacteriales	123	32	52	84
A0A7Y8WYZ7_9ACTN/2-67	A0A7Y8WYZ7	9ACTN		None		32	34	66
A0A7K2YVR1_9ACTN/2-80	A0A7K2YVR1	9ACTN		None		32	47	79
A0A511F7E5_9CELL/2-63	A0A511F7E5	9CELL	Cellulomonas hominis	Micrococcales	63	32	30	62
A0A918NXA2_9ACTN/44-105	A0A918NXA2	9ACTN	Streptomyces minutiscleroticus	Kitasatosporales	125	32	30	62
A0A1H7A9S5_9MICO/2-61	A0A1H7A9S5	9MICO	Demequina mangrovi	Micrococcales	62	32	28	60
A0A2V5L4C3_9MICC/2-73	A0A2V5L4C3	9MICC	Arthrobacter livingstonensis	Micrococcales	76	32	40	72
A0A124H5U4_9ACTN/2-81	A0A124H5U4	9ACTN	Streptomyces curacoi	Kitasatosporales	83	32	48	80
A0A370GUY7_9NOCA/2-72	A0A370GUY7	9NOCA	Nocardia mexicana	Mycobacteriales	72	32	39	71
A0A918AB51_9ACTN/21-81	A0A918AB51	9ACTN	Nonomuraea glycinis	Streptosporangiales	95	32	29	61
L7KHU1_9ACTN/2-58	L7KHU1	9ACTN	Gordonia aichiensis NBRC 108223	Mycobacteriales	58	32	25	57
A0A0A7I5R4_9BIFI/2-77	A0A0A7I5R4	9BIFI	Bifidobacterium pseudolongum PV8-2	Bifidobacteriales	115	32	44	76
A0A0K2YKM5_9NOCA/2-69	A0A0K2YKM5	9NOCA		None		32	36	68
A0A6B8VVJ5_9CORY/2-64	A0A6B8VVJ5	9CORY	Corynebacterium kalinowskii	Mycobacteriales	69	32	31	63
A0A1S1Q935_9ACTN/2-68	A0A1S1Q935	9ACTN	Parafrankia colletiae	Frankiales	69	32	35	67
A0A5N5UUW8_MYCPH/2-58	A0A5N5UUW8	MYCPH	Mycolicibacterium phlei DSM 43239 = CCUG 21000	Mycobacteriales	58	32	25	57
A0A918MSG9_9ACTN/2-65	A0A918MSG9	9ACTN	Streptomyces lucensis JCM 4490	Kitasatosporales	82	32	32	64
A0A931CUL5_9MICC/2-69	A0A931CUL5	9MICC	Arthrobacter terrae	Micrococcales	74	32	36	68
A0A0B2AKR7_9MICC/2-66	A0A0B2AKR7	9MICC	Sinomonas humi	Micrococcales	73	32	33	65
A0A3G2JG42_9ACTN/2-62	A0A3G2JG42	9ACTN	Streptomyces dangxiongensis	Kitasatosporales	64	32	29	61
D6ZEK7_SEGRD/2-55	D6ZEK7	SEGRD	Segniliparus rotundus (strain ATCC BAA-972 / CDC 1076 / CIP 108378 / DSM 44985 / JCM 13578)	Mycobacteriales	55	32	22	54
A0A0T0MHH9_9CELL/2-69	A0A0T0MHH9	9CELL		None		32	36	68
A0A8J3YUW9_9ACTN/23-87	A0A8J3YUW9	9ACTN	Virgisporangium aliadipatigenens	Micromonosporales	105	32	33	65
A0A512HT78_9ACTN/42-91	A0A512HT78	9ACTN	Aeromicrobium flavum	Propionibacteriales	98	32	18	50
A0A7X8TKB2_9MICC/2-63	A0A7X8TKB2	9MICC	Nesterenkonia sedimenti	Micrococcales	64	32	30	62
A0A0Q7UW30_9MICO/2-61	A0A0Q7UW30	9MICO		None		32	28	60
A0A1B6AFX0_9ACTN/2-82	A0A1B6AFX0	9ACTN		None		32	49	81
A0A6I6DUT6_9MICO/2-61	A0A6I6DUT6	9MICO	Microbacterium oryzae	Micrococcales	62	32	28	60
A0A1I5U8W8_9ACTN/2-64	A0A1I5U8W8	9ACTN	Actinomadura madurae	Streptosporangiales	68	32	31	63
A0A4S4FI80_9MICO/2-66	A0A4S4FI80	9MICO	Naasia lichenicola	Micrococcales	67	32	33	65
A0A7Y7BBI8_STRMO/2-64	A0A7Y7BBI8	STRMO	Streptomyces morookaense (Streptoverticillium morookaense)	Kitasatosporales	86	32	31	63
A0A4Q2S9W1_9ACTN/2-60	A0A4Q2S9W1	9ACTN	Nocardioides ganghwensis	Propionibacteriales	62	32	27	59
A0A2H1L4G9_9MICO/2-64	A0A2H1L4G9	9MICO	Brevibacterium jeotgali	Micrococcales	64	32	31	63
A0A918LWH8_9ACTN/2-84	A0A918LWH8	9ACTN	Streptomyces phaeofaciens	Kitasatosporales	85	32	51	83
A0A7W7M3T6_9MICC/1-54	A0A7W7M3T6	9MICC	Micrococcus cohnii	Micrococcales	56	17	37	54
A0A3G8ZXA3_9ACTN/2-62	A0A3G8ZXA3	9ACTN	Nakamurella antarctica	Nakamurellales	63	32	29	61
A0A919PNY0_9ACTN/2-72	A0A919PNY0	9ACTN	Dactylosporangium siamense	Micromonosporales	76	32	39	71
A0A5P0YTN5_9ACTN/2-76	A0A5P0YTN5	9ACTN	Streptomyces alkaliterrae	Kitasatosporales	79	32	43	75
A0A4Y8KLU0_9MICO/2-82	A0A4Y8KLU0	9MICO	Cryobacterium psychrophilum	Micrococcales	86	32	49	81
A0A3L7AWQ4_9MICO/2-63	A0A3L7AWQ4	9MICO	Mycetocola lacteus	Micrococcales	63	32	30	62
A0A916SNT7_9MICO/7-90	A0A916SNT7	9MICO	Conyzicola nivalis	Micrococcales	92	32	52	84
A0A0A1DNK9_NOCSI/2-60	A0A0A1DNK9	NOCSI	Nocardioides simplex (Arthrobacter simplex)	Propionibacteriales	62	32	27	59
A0A7X0HGC2_9ACTN/2-78	A0A7X0HGC2	9ACTN	Streptomyces candidus	Kitasatosporales	82	32	45	77
A0A2P8B1F3_9ACTN/2-69	A0A2P8B1F3	9ACTN		None		32	36	68
A0A2V4P2T9_9ACTN/2-80	A0A2V4P2T9	9ACTN	Streptomyces tateyamensis	Kitasatosporales	83	32	47	79
A0A1C4H5X7_9BIFI/2-92	A0A1C4H5X7	9BIFI	Bifidobacterium commune	Bifidobacteriales	135	32	59	91
N0E4I0_9MICO/17-79	N0E4I0	9MICO	Phycicoccus elongatus Lp2	Micrococcales	80	32	31	63
A0A927M0H8_9ACTN/2-69	A0A927M0H8	9ACTN	Plantactinospora soyae	Micromonosporales	71	32	36	68
A0A1E8PWB5_9MYCO/2-63	A0A1E8PWB5	9MYCO	Mycolicibacterium grossiae	Mycobacteriales	64	32	30	62
A0A430FR01_9BIFI/2-89	A0A430FR01	9BIFI	Bifidobacterium dolichotidis	Bifidobacteriales	119	32	56	88
A0A428XM98_9ACTN/2-70	A0A428XM98	9ACTN		None		32	37	69
A0A430FIW7_9BIFI/2-94	A0A430FIW7	9BIFI	Bifidobacterium samirii	Bifidobacteriales	135	32	61	93
A0A7L7VQP2_9MICC/2-71	A0A7L7VQP2	9MICC		None		32	38	70
A0A9X3BVG9_9MYCO/2-60	A0A9X3BVG9	9MYCO	[Mycobacterium] manitobense	Mycobacteriales	61	32	27	59
A0A3N6D9V4_9ACTN/2-64	A0A3N6D9V4	9ACTN		None		32	31	63
A0A2N5XJZ8_9ACTN/2-78	A0A2N5XJZ8	9ACTN		None		32	45	77
A0A511ABV8_9MICO/2-62	A0A511ABV8	9MICO	Microbacterium aerolatum	Micrococcales	62	32	29	61
A0A087A0A8_9BIFI/2-90	A0A087A0A8	9BIFI	Bifidobacterium biavatii DSM 23969	Bifidobacteriales	128	32	57	89
A0A7U3UT97_9ACTN/2-65	A0A7U3UT97	9ACTN	Actinacidiphila reveromycinica	Kitasatosporales	89	32	32	64
A0A4U2YR05_9ACTN/2-60	A0A4U2YR05	9ACTN	Nocardioides jishulii	Propionibacteriales	61	32	27	59
I0QZV8_9MICO/2-60	I0QZV8	9MICO		None		32	27	59
A0A1H9T6X4_9ACTN/2-76	A0A1H9T6X4	9ACTN	Propionibacterium cyclohexanicum	Propionibacteriales	77	32	43	75
A0A429AT10_9ACTN/2-56	A0A429AT10	9ACTN		None		32	23	55
A0A5S4VB69_9MICO/2-63	A0A5S4VB69	9MICO	Agromyces mariniharenae	Micrococcales	66	32	30	62
A0A919BHW3_STRFL/2-64	A0A919BHW3	STRFL	Streptomyces filamentosus (Streptomyces roseosporus)	Kitasatosporales	84	32	31	63
A0A1H1WT31_9ACTN/2-61	A0A1H1WT31	9ACTN	Nocardioides scoriae	Propionibacteriales	66	32	28	60
A0A563E9P4_9MICO/2-62	A0A563E9P4	9MICO	Leekyejoonella antrihumi	Micrococcales	66	32	29	61
A0A3A4F5K6_9MICC/2-62	A0A3A4F5K6	9MICC	Nesterenkonia natronophila	Micrococcales	62	32	29	61
A0A8J3GS47_9MICO/2-68	A0A8J3GS47	9MICO	Pseudolysinimonas yzui	Micrococcales	69	32	35	67
A0A7W5V3Z5_9ACTN/2-69	A0A7W5V3Z5	9ACTN	Nonomuraea dietziae	Streptosporangiales	75	32	36	68
A0A5C4M314_9PSEU/2-62	A0A5C4M314	9PSEU	Amycolatopsis alkalitolerans	Pseudonocardiales	62	32	29	61
A0A3G9J0R8_9ACTN/13-72	A0A3G9J0R8	9ACTN	Nocardioides baekrokdamisoli	Propionibacteriales	72	32	28	60
E2PXT8_STRCL/21-83	E2PXT8	STRCL	Streptomyces clavuligerus	Kitasatosporales	101	32	31	63
A0A8J3TRI8_9ACTN/2-65	A0A8J3TRI8	9ACTN	Planosporangium mesophilum	Micromonosporales	72	32	32	64
A0A0Q5AVJ1_9MICO/2-64	A0A0Q5AVJ1	9MICO		None		32	31	63
A0A3B0B3S2_9MICO/2-61	A0A3B0B3S2	9MICO		None		32	28	60
A0A4P8RBL3_9MICO/2-62	A0A4P8RBL3	9MICO		None		32	29	61
L7LA22_9ACTN/2-61	L7LA22	9ACTN	Gordonia hirsuta DSM 44140 = NBRC 16056	Mycobacteriales	61	32	28	60
A0A0P7GHP5_9MICC/2-76	A0A0P7GHP5	9MICC		None		32	43	75
A0A5J6HF91_STRAD/2-64	A0A5J6HF91	STRAD	Streptomyces alboniger	Kitasatosporales	84	32	31	63
A0A1M5YXR2_9ACTN/2-84	A0A1M5YXR2	9ACTN		None		32	51	83
A0A3Q9G838_9ACTO/2-64	A0A3Q9G838	9ACTO	Flaviflexus ciconiae	Actinomycetales	74	32	31	63
A0A2W2CMC0_9ACTN/2-67	A0A2W2CMC0	9ACTN	Micromonospora deserti	Micromonosporales	71	32	34	66
A0A1S1R4H7_9ACTN/2-63	A0A1S1R4H7	9ACTN	Parafrankia colletiae	Frankiales	64	32	30	62
A0A944JY22_9ACTN/2-78	A0A944JY22	9ACTN		None		32	45	77
A0A495VQ72_9PSEU/2-61	A0A495VQ72	9PSEU	Saccharothrix australiensis	Pseudonocardiales	61	32	28	60
W5IHK9_SCAIO/2-78	W5IHK9	SCAIO	Scardovia inopinata F0304	Bifidobacteriales	116	32	45	77
A0A2S0WYT8_9MICO/2-64	A0A2S0WYT8	9MICO	Agromyces badenianii	Micrococcales	67	32	31	63
U7LE29_9CORY/2-64	U7LE29	9CORY		None		32	31	63
A0A2T0MX60_9ACTN/2-55	A0A2T0MX60	9ACTN	Nonomuraea fuscirosea	Streptosporangiales	56	32	22	54
A0A0Q5LKB4_9MICO/2-64	A0A0Q5LKB4	9MICO		None		32	31	63
A0A2M9CNI9_9MICO/2-62	A0A2M9CNI9	9MICO	Diaminobutyricimonas aerilata	Micrococcales	62	32	29	61
A0A2T0K0E5_9ACTN/2-69	A0A2T0K0E5	9ACTN	Actinoplanes italicus	Micromonosporales	78	32	36	68
A0A7X6R4X8_9NOCA/2-68	A0A7X6R4X8	9NOCA	Nocardia gamkensis	Mycobacteriales	68	32	35	67
A0A4R4PS10_9ACTN/2-66	A0A4R4PS10	9ACTN		None		32	33	65
A0A087CXV2_9BIFI/2-85	A0A087CXV2	9BIFI	Bifidobacterium reuteri DSM 23975	Bifidobacteriales	127	32	52	84
A0A918MCH8_9ACTN/2-80	A0A918MCH8	9ACTN	Streptomyces filipinensis	Kitasatosporales	83	32	47	79
A0A1E8FTQ1_9MICC/2-74	A0A1E8FTQ1	9MICC		None		32	41	73
A0A239BNH1_9ACTN/2-55	A0A239BNH1	9ACTN	Streptosporangium subroseum	Streptosporangiales	55	32	22	54
A0A7K0CMD9_9ACTN/2-64	A0A7K0CMD9	9ACTN	Streptomyces smaragdinus	Kitasatosporales	89	32	31	63
A0A1X1TIR6_9MYCO/2-59	A0A1X1TIR6	9MYCO	Mycolicibacterium doricum	Mycobacteriales	59	32	26	58
F8A4G6_CELGA/2-64	F8A4G6	CELGA	Cellulomonas gilvus (strain ATCC 13127 / NRRL B-14078) (Cellvibrio gilvus)	Micrococcales	67	32	31	63
S2YXT5_9CORY/2-61	S2YXT5	9CORY	Corynebacterium pyruviciproducens ATCC BAA-1742	Mycobacteriales	61	32	28	60
A0A553K5M6_9ACTN/2-77	A0A553K5M6	9ACTN	Tessaracoccus rhinocerotis	Propionibacteriales	78	32	44	76
A0A7Y7LX73_9MICC/2-72	A0A7Y7LX73	9MICC	Arthrobacter wenxiniae	Micrococcales	76	32	39	71
A0A0M8TGT2_9ACTN/2-64	A0A0M8TGT2	9ACTN		None		32	31	63
A0A291QBQ9_9ACTN/2-78	A0A291QBQ9	9ACTN	Streptomyces formicae	Kitasatosporales	83	32	45	77
C5C2R2_BEUC1/2-61	C5C2R2	BEUC1	Beutenbergia cavernae (strain ATCC BAA-8 / DSM 12333 / CCUG 43141 / JCM 11478 / NBRC 16432 / NCIMB 13614 / HKI 0122)	Micrococcales	62	32	28	60
A0A0Q8V9N8_9ACTN/2-60	A0A0Q8V9N8	9ACTN		None		32	27	59
A0A9W6P7W8_9ACTN/2-69	A0A9W6P7W8	9ACTN	Nocardiopsis ansamitocini	Streptosporangiales	88	32	36	68
U1PXW0_9ACTO/2-63	U1PXW0	9ACTO		None		32	30	62
A0A929B7R4_9PSEU/2-59	A0A929B7R4	9PSEU	Saccharopolyspora montiporae	Pseudonocardiales	59	32	26	58
A0A1G8JJ05_9ACTN/2-54	A0A1G8JJ05	9ACTN	Sinosporangium album	Streptosporangiales	55	32	21	53
A0A1M5HG09_9ACTN/2-61	A0A1M5HG09	9ACTN	Jatrophihabitans endophyticus	Jatrophihabitantales	62	32	28	60
A0A372JIZ0_9ACTN/2-63	A0A372JIZ0	9ACTN	Actinomadura logoneensis	Streptosporangiales	70	32	30	62
A0A5N0V7D7_9PSEU/2-62	A0A5N0V7D7	9PSEU	Amycolatopsis acidicola	Pseudonocardiales	62	32	29	61
A0A0Q6FY93_9MICO/2-68	A0A0Q6FY93	9MICO		None		32	35	67
A0A1H2N115_9ACTN/2-77	A0A1H2N115	9ACTN	Microlunatus sagamiharensis	Propionibacteriales	79	32	44	76
A0A372J7J7_9ACTN/2-72	A0A372J7J7	9ACTN		None		32	39	71
