clade	sra	n_pool	n_term_raw	loss	gain	neutral	inverse	tierce	C>A	C>G	C>T	T>A	T>C	T>G
Caprae_La2	SRR29093505	40	11	9	2	0	0	0	0	0	9	0	2	0
Caprae_La2	ERR4829557	40	0	0	0	0	0	0	0	0	0	0	0	0
Caprae_La2	SRR29410374	40	1	0	0	1	0	0	0	1	0	0	0	0
Caprae_La2	SRR23911109	40	2	0	1	1	0	0	0	1	0	0	1	0
Caprae_La2	ERR10430715	40	0	0	0	0	0	0	0	0	0	0	0	0
Caprae_La2	SRR13888768	40	22	17	4	1	0	0	2	1	15	0	3	1
Caprae_La2	SRR13888779	40	2	2	0	0	0	0	0	0	2	0	0	0
Caprae_La2	SRR29410375	40	6	3	2	0	0	0	2	0	1	0	2	0
Caprae_La2	SRR23911103	40	8	5	3	0	0	0	0	0	5	0	3	0
Caprae_La2	ERR1462621	40	7	5	1	1	0	0	1	1	4	0	1	0
Caprae_La2	SRR3135068	40	174	98	50	26	0	0	16	25	82	1	44	6
Caprae_La2	SRR13888775	40	4	1	3	0	0	0	0	0	1	0	2	1
Caprae_La2	SRR13888769	40	8	2	6	0	0	0	1	0	1	0	4	2
Caprae_La2	SRR35607801	40	29	16	10	3	0	0	1	3	15	0	8	2
Caprae_La2	ERR1462630	40	5	5	0	0	0	0	1	0	4	0	0	0
Caprae_La2	SRR35607800	40	20	11	5	4	0	0	0	3	11	1	4	1
Caprae_La2	ERR1462607	40	4	3	1	0	0	0	2	0	1	0	1	0
Caprae_La2	SRR23911110	40	2	1	0	1	0	0	0	1	1	0	0	0
Caprae_La2	SRR17111245	40	6	3	2	1	0	0	0	1	3	0	1	1
Caprae_La2	SRR17111239	40	2	1	1	0	0	0	0	0	1	0	1	0
Caprae_La2	SRR13888788	40	13	7	5	1	0	0	0	1	7	0	4	1
Caprae_La2	SRR25167924	40	17	11	4	2	0	0	3	2	8	0	3	1
Caprae_La2	SRR13888751	40	8	1	4	3	0	0	0	3	1	0	3	1
Caprae_La2	ERR2517345	40	213	120	77	13	0	0	18	10	102	3	62	15
Caprae_La2	ERR552526	40	95	56	27	12	0	0	12	10	44	2	18	9
Caprae_La2	ERR10430689	40	15	9	6	0	0	0	3	0	6	0	6	0
Caprae_La2	SRR23911108	40	11	9	1	1	0	0	1	1	8	0	1	0
Caprae_La2	ERR1462608	40	2	0	0	1	0	0	0	1	0	0	0	0
Caprae_La2	SRR13888792	40	61	32	24	5	0	0	1	4	31	1	18	6
Caprae_La2	ERR11050505	40	7	3	3	1	0	0	1	1	2	0	2	1
Caprae_La2	SRR29410373	40	8	5	2	1	0	0	0	1	5	0	2	0
Microti	ERR027298	32	50	24	16	10	0	0	7	8	17	2	5	11
Microti	ERR2659167	32	8	6	2	0	0	0	2	0	4	0	2	0
Microti	SRR25473322	32	9	4	2	3	0	0	1	3	3	0	2	0
Microti	ERR4818896	32	3	2	1	0	0	0	0	0	2	0	1	0
Microti	ERR4817596	32	15	10	3	2	0	0	1	1	9	1	2	1
Microti	ERR2659163	32	6	2	2	2	0	0	0	1	2	1	2	0
Microti	ERR027294	32	74	45	15	14	0	0	14	12	31	2	9	6
Microti	ERR2693243	32	61	29	18	14	0	0	8	12	21	2	13	5
Microti	ERR4627396	32	202	85	89	28	0	0	20	25	65	3	72	17
Microti	ERR553377	32	0	0	0	0	0	0	0	0	0	0	0	0
Microti	ERR4816200	32	39	21	7	11	0	0	5	8	16	3	4	3
Microti	ERR4819660	32	127	63	30	33	0	0	16	30	47	3	23	7
Microti	SRR25473320	32	3	3	0	0	0	0	1	0	2	0	0	0
Microti	ERR5102812	32	7	5	2	0	0	0	2	0	3	0	2	0
Microti	ERR027297	32	74	43	20	11	0	0	17	10	26	1	8	12
Microti	ERR4821993	32	0	0	0	0	0	0	0	0	0	0	0	0
Microti	ERR2200122	32	0	0	0	0	0	0	0	0	0	0	0	0
Microti	ERR553376	32	7	5	1	1	0	0	3	1	2	0	1	0
Microti	ERR2659166	32	160	91	36	33	0	1	22	26	69	7	29	7
Microti	ERR4816690	32	1	1	0	0	0	0	0	0	1	0	0	0
Microti	ERR3283039	32	31	15	11	4	0	0	7	4	8	0	3	8
Microti	SRR3647357	32	1	1	0	0	0	0	0	0	1	0	0	0
Microti	ERR2659170	32	0	0	0	0	0	0	0	0	0	0	0	0
Microti	ERR4618952	32	45	16	20	8	1	0	4	6	12	2	12	8
Microti	ERR4815315	32	21	9	6	6	0	0	6	4	3	2	2	4
Microti	ERR4816083	32	128	57	41	30	0	0	14	25	43	5	31	10
Microti	ERR2659168	32	6	2	2	2	0	0	1	2	1	0	2	0
Microti	ERR027295	32	0	0	0	0	0	0	0	0	0	0	0	0
Microti	ERR4627394	32	12	7	3	2	0	0	2	2	5	0	2	1
Microti	SRR25473321	32	3	2	1	0	0	0	0	0	2	0	0	1
Microti	SRR5007159	32	29	8	17	4	0	0	2	4	6	0	15	2
Microti	ERR551111	32	0	0	0	0	0	0	0	0	0	0	0	0
