lignee	sra	n_pool	n_term_raw	loss	gain	neutral	inverse	tierce	C>A	C>G	C>T	T>A	T>C	T>G
Caprae_La2	SRR13888769	40	8	2	6	0	0	0	1	0	1	0	4	2
Caprae_La2	SRR35607801	40	29	16	10	3	0	0	1	3	15	0	8	2
Caprae_La2	ERR1462630	40	5	5	0	0	0	0	1	0	4	0	0	0
Caprae_La2	SRR35607800	40	20	11	5	4	0	0	0	3	11	1	4	1
Caprae_La2	ERR1462607	40	4	3	1	0	0	0	2	0	1	0	1	0
Caprae_La2	SRR23911110	40	2	1	0	1	0	0	0	1	1	0	0	0
Caprae_La2	SRR17111245	40	6	3	2	1	0	0	0	1	3	0	1	1
Caprae_La2	SRR17111239	40	2	1	1	0	0	0	0	0	1	0	1	0
Caprae_La2	SRR13888788	40	13	7	5	1	0	0	0	1	7	0	4	1
Caprae_La2	SRR25167924	40	17	11	4	2	0	0	3	2	8	0	3	1
Caprae_La2	SRR13888751	40	8	1	4	3	0	0	0	3	1	0	3	1
Caprae_La2	ERR2517345	40	213	120	77	13	0	0	18	10	102	3	62	15
Caprae_La2	ERR552526	40	95	56	27	12	0	0	12	10	44	2	18	9
Caprae_La2	ERR10430689	40	15	9	6	0	0	0	3	0	6	0	6	0
Caprae_La2	SRR23911108	40	11	9	1	1	0	0	1	1	8	0	1	0
Caprae_La2	ERR1462608	40	2	0	0	1	0	0	0	1	0	0	0	0
Caprae_La2	SRR13888792	40	61	32	24	5	0	0	1	4	31	1	18	6
Caprae_La2	ERR11050505	40	7	3	3	1	0	0	1	1	2	0	2	1
Caprae_La2	SRR29410373	40	8	5	2	1	0	0	0	1	5	0	2	0
Orygis_La3	SRR23445158	40	73	43	21	9	0	0	9	7	34	2	10	11
Orygis_La3	SRR16057940	40	107	61	37	9	0	0	11	5	50	4	27	10
Orygis_La3	SRR20622097	40	67	41	18	8	0	0	7	8	34	0	15	3
Orygis_La3	SRR24372791	40	2	2	0	0	0	0	0	0	2	0	0	0
Orygis_La3	ERR4799118	40	45	21	13	11	0	0	3	7	18	4	7	6
Orygis_La3	SRR25035965	40	29	13	9	7	0	0	2	2	11	5	7	2
Orygis_La3	SRR23445174	40	73	44	22	7	0	0	7	7	37	0	16	6
Orygis_La3	SRR23445126	40	39	26	7	6	0	0	2	6	24	0	4	3
Orygis_La3	SRR24372789	40	2	1	1	0	0	0	0	0	1	0	1	0
Orygis_La3	SRR23445180	40	73	38	25	10	0	0	4	10	34	0	17	8
Orygis_La3	SRR10321143	40	78	50	19	9	0	0	11	9	39	0	12	7
Orygis_La3	SRR29322297	40	57	25	25	6	0	0	10	6	15	0	15	10
Orygis_La3	ERR4817427	40	32	17	6	9	0	1	2	6	15	3	4	2
Orygis_La3	SRR17089003	40	0	0	0	0	0	0	0	0	0	0	0	0
Orygis_La3	SRR23445134	40	0	0	0	0	0	0	0	0	0	0	0	0
Orygis_La3	ERR234682	40	76	39	22	13	2	0	6	9	33	4	18	4
Orygis_La3	ERR9125109	40	90	50	32	8	0	0	9	5	41	3	24	8
Orygis_La3	SRR28623800	40	0	0	0	0	0	0	0	0	0	0	0	0
Orygis_La3	ERR6375135	40	64	29	24	11	0	0	3	10	26	1	19	5
Orygis_La3	ERR234675	40	75	36	24	14	0	0	11	11	25	3	17	7
Orygis_La3	SRR25035967	40	18	10	7	1	0	0	1	1	9	0	4	3
Orygis_La3	SRR16643349	40	59	34	19	6	0	0	7	4	27	2	11	8
Orygis_La3	SRR28623806	40	0	0	0	0	0	0	0	0	0	0	0	0
Orygis_La3	SRR27450478	40	89	51	31	7	0	0	9	6	42	1	19	12
Orygis_La3	SRR29052772	40	61	31	20	10	0	0	7	9	24	1	15	5
Orygis_La3	SRR23445136	40	58	36	14	8	0	0	5	5	31	3	12	2
Orygis_La3	SRR28623801	40	0	0	0	0	0	0	0	0	0	0	0	0
Orygis_La3	SRR28623786	40	0	0	0	0	0	0	0	0	0	0	0	0
Orygis_La3	SRR27450482	40	107	62	28	17	0	0	9	12	53	5	20	8
Orygis_La3	SRR16089402	40	95	52	30	13	0	0	8	9	44	4	25	5
Orygis_La3	SRR23445125	40	107	61	30	16	0	0	14	13	47	3	24	6
Orygis_La3	SRR29440847	40	54	24	14	16	0	0	7	13	17	3	13	1
Orygis_La3	SRR23445148	40	124	62	42	20	0	0	9	15	53	5	26	16
Orygis_La3	SRR28623803	40	0	0	0	0	0	0	0	0	0	0	0	0
Orygis_La3	ERR2512859	40	173	82	67	23	1	0	13	13	69	10	47	20
Orygis_La3	SRR23445128	40	46	24	16	6	0	0	5	5	19	1	13	3
Orygis_La3	SRR23445155	40	67	43	16	8	0	0	9	6	34	2	12	4
Orygis_La3	SRR23445132	40	0	0	0	0	0	0	0	0	0	0	0	0
Orygis_La3	SRR6046131	40	107	69	23	15	0	0	16	10	53	5	18	5
Orygis_La3	ERR6375142	40	62	29	14	19	0	0	4	15	25	4	7	7
Microti	ERR027298	32	50	24	16	10	0	0	7	8	17	2	5	11
Microti	ERR2659167	32	8	6	2	0	0	0	2	0	4	0	2	0
Microti	SRR25473322	32	9	4	2	3	0	0	1	3	3	0	2	0
Microti	ERR4818896	32	3	2	1	0	0	0	0	0	2	0	1	0
Microti	ERR4817596	32	15	10	3	2	0	0	1	1	9	1	2	1
Microti	ERR2659163	32	6	2	2	2	0	0	0	1	2	1	2	0
Microti	ERR027294	32	74	45	15	14	0	0	14	12	31	2	9	6
Microti	ERR2693243	32	61	29	18	14	0	0	8	12	21	2	13	5
Microti	ERR4627396	32	202	85	89	28	0	0	20	25	65	3	72	17
Microti	ERR553377	32	0	0	0	0	0	0	0	0	0	0	0	0
Microti	ERR4816200	32	39	21	7	11	0	0	5	8	16	3	4	3
Microti	ERR4819660	32	127	63	30	33	0	0	16	30	47	3	23	7
Microti	SRR25473320	32	3	3	0	0	0	0	1	0	2	0	0	0
Microti	ERR5102812	32	7	5	2	0	0	0	2	0	3	0	2	0
Microti	ERR027297	32	74	43	20	11	0	0	17	10	26	1	8	12
Microti	ERR4821993	32	0	0	0	0	0	0	0	0	0	0	0	0
Microti	ERR2200122	32	0	0	0	0	0	0	0	0	0	0	0	0
Microti	ERR553376	32	7	5	1	1	0	0	3	1	2	0	1	0
Microti	ERR2659166	32	160	91	36	33	0	1	22	26	69	7	29	7
Microti	ERR4816690	32	1	1	0	0	0	0	0	0	1	0	0	0
Microti	ERR3283039	32	31	15	11	4	0	0	7	4	8	0	3	8
Microti	SRR3647357	32	1	1	0	0	0	0	0	0	1	0	0	0
Microti	ERR2659170	32	0	0	0	0	0	0	0	0	0	0	0	0
Microti	ERR4618952	32	45	16	20	8	1	0	4	6	12	2	12	8
Microti	ERR4815315	32	21	9	6	6	0	0	6	4	3	2	2	4
Microti	ERR4816083	32	128	57	41	30	0	0	14	25	43	5	31	10
Microti	ERR2659168	32	6	2	2	2	0	0	1	2	1	0	2	0
Microti	ERR027295	32	0	0	0	0	0	0	0	0	0	0	0	0
Microti	ERR4627394	32	12	7	3	2	0	0	2	2	5	0	2	1
Microti	SRR25473321	32	3	2	1	0	0	0	0	0	2	0	0	1
Microti	SRR5007159	32	29	8	17	4	0	0	2	4	6	0	15	2
Microti	ERR551111	32	0	0	0	0	0	0	0	0	0	0	0	0
Pinnipedii	ERR4143898	15	0	0	0	0	0	0	0	0	0	0	0	0
Pinnipedii	ERR552769	15	0	0	0	0	0	0	0	0	0	0	0	0
Pinnipedii	ERR552768	15	0	0	0	0	0	0	0	0	0	0	0	0
Pinnipedii	ERR12075278	15	1	1	0	0	0	0	0	0	1	0	0	0
Pinnipedii	SRR1239336	15	30	22	5	3	0	0	5	3	17	0	5	0
Pinnipedii	SRR1239337	15	12	7	4	1	0	0	0	1	7	0	4	0
Pinnipedii	SRR1239338	15	44	30	7	7	0	0	1	7	29	0	5	2
Pinnipedii	ERR551134	15	0	0	0	0	0	0	0	0	0	0	0	0
Pinnipedii	ERR551136	15	0	0	0	0	0	0	0	0	0	0	0	0
Pinnipedii	SRR1239339	15	0	0	0	0	0	0	0	0	0	0	0	0
Pinnipedii	ERR4143897	15	3	2	0	1	0	0	0	1	2	0	0	0
Pinnipedii	SRR7693584	15	9	5	3	1	0	0	0	0	5	1	2	1
Pinnipedii	SRR29055367	15	13	10	2	1	0	0	4	1	6	0	2	0
Pinnipedii	ERR4817032	15	0	0	0	0	0	0	0	0	0	0	0	0
Pinnipedii	SRR7693090	15	17	7	7	2	0	0	2	2	5	0	3	4
La4	SRR27836870	21	0	0	0	0	0	0	0	0	0	0	0	0
La4	SRR31884848	21	102	49	34	18	0	0	8	16	41	2	25	9
La4	SRR27836877	21	0	0	0	0	0	0	0	0	0	0	0	0
La4	SRR27836874	21	0	0	0	0	0	0	0	0	0	0	0	0
La4	DRR120408	21	112	61	41	9	0	0	5	8	56	1	37	4
La4	SRR3135069	21	1	1	0	0	0	0	0	0	1	0	0	0
La4	SRR27836871	21	1	0	1	0	0	0	0	0	0	0	1	0
La4	SRR35773085	21	114	62	36	15	0	0	9	12	53	3	29	7
La4	ERR13149107	21	1	0	0	0	0	0	0	0	0	0	0	0
La4	SRR27836869	21	0	0	0	0	0	0	0	0	0	0	0	0
La4	SRR1792164	21	0	0	0	0	0	0	0	0	0	0	0	0
La4	SRR18914189	21	0	0	0	0	0	0	0	0	0	0	0	0
La4	SRR16503843	21	0	0	0	0	0	0	0	0	0	0	0	0
La4	SRR7617662	21	0	0	0	0	0	0	0	0	0	0	0	0
La4	SRR1792165	21	1	1	0	0	0	0	1	0	0	0	0	0
La4	SRR27836875	21	0	0	0	0	0	0	0	0	0	0	0	0
La4	SRR27836876	21	1	1	0	0	0	0	0	0	1	0	0	0
La4	SRR27836868	21	1	0	1	0	0	0	0	0	0	0	0	1
La4	ERR11068622	21	280	145	98	34	0	0	26	27	119	7	72	26
La4	SRR27836873	21	0	0	0	0	0	0	0	0	0	0	0	0
La4	SRR27836872	21	1	1	0	0	0	0	0	0	1	0	0	0
Dassie	SRR3745455	6	70	46	10	14	0	0	19	12	27	2	8	2
Dassie	SRR3745457	6	0	0	0	0	0	0	0	0	0	0	0	0
Dassie	ERR2659158	6	7	2	2	2	0	0	1	2	1	0	1	1
Dassie	ERR2659157	6	0	0	0	0	0	0	0	0	0	0	0	0
Dassie	SRR3745456	6	69	36	14	18	1	0	15	16	21	2	11	3
Dassie	SRR3745458	6	11	8	2	1	0	0	2	1	6	0	1	1
Suricattae	SRR29093838	5	3	0	3	0	0	0	0	0	0	0	3	0
Suricattae	SRR29093504	5	48	33	7	8	0	0	15	7	18	1	4	3
Suricattae	ERR970409	5	2	2	0	0	0	0	0	0	2	0	0	0
Suricattae	SRR29096559	5	1	1	0	0	0	0	0	0	1	0	0	0
Suricattae	SRR29096255	5	62	42	10	10	0	0	19	9	23	1	9	1
