lignee	sra	n_pool	loss_4fold	gain_4fold	neut_4fold	loss_0fold	gain_0fold	neut_0fold	loss_intergenique	gain_intergenique	neut_intergenique	loss_0fold_pos2	gain_0fold_pos2	neut_0fold_pos2
Caprae_La2	ERR1462621	40	0	0	0	3	1	0	2	0	0	2	0	0
Caprae_La2	SRR3135068	40	30	4	9	41	36	12	16	4	3	18	27	7
Caprae_La2	SRR13888775	40	0	0	0	1	2	0	0	1	0	1	1	0
Caprae_La2	SRR13888769	40	0	0	0	2	4	0	0	0	0	1	2	0
Caprae_La2	SRR35607801	40	3	2	1	9	5	1	0	2	0	2	3	0
Caprae_La2	ERR1462630	40	0	0	0	3	0	0	1	0	0	2	0	0
Caprae_La2	SRR35607800	40	4	0	1	5	3	3	0	1	0	2	2	1
Caprae_La2	ERR1462607	40	0	0	0	3	1	0	0	0	0	2	0	0
Caprae_La2	SRR23911110	40	0	0	1	1	0	0	0	0	0	0	0	0
Caprae_La2	SRR17111245	40	1	0	1	2	2	0	0	0	0	2	2	0
Caprae_La2	SRR17111239	40	0	0	0	0	1	0	0	0	0	0	0	0
Caprae_La2	SRR13888788	40	1	1	1	3	4	0	1	0	0	2	2	0
Caprae_La2	SRR25167924	40	4	0	0	6	3	2	0	0	0	3	2	2
Caprae_La2	SRR13888751	40	0	0	2	0	0	0	1	3	0	0	0	0
Caprae_La2	ERR2517345	40	35	15	3	53	43	6	9	12	1	28	26	3
Caprae_La2	ERR552526	40	15	2	4	25	16	4	2	6	1	13	12	2
Caprae_La2	ERR10430689	40	2	1	0	5	4	0	0	0	0	2	3	0
Caprae_La2	SRR23911108	40	1	0	0	6	0	0	0	1	1	3	0	0
Caprae_La2	ERR1462608	40	0	0	0	0	0	1	0	0	0	0	0	1
Caprae_La2	SRR13888792	40	3	3	1	19	15	4	3	2	0	11	8	3
Caprae_La2	ERR11050505	40	2	0	1	1	1	0	0	1	0	1	0	0
Caprae_La2	SRR29410373	40	1	1	0	3	1	1	0	0	0	1	0	1
Orygis_La3	SRR23445158	40	14	3	4	17	15	3	4	0	0	3	7	2
Orygis_La3	SRR16057940	40	17	5	3	31	23	4	6	3	1	13	13	0
Orygis_La3	SRR20622097	40	8	1	3	21	15	4	6	0	0	5	9	0
Orygis_La3	SRR24372791	40	1	0	0	0	0	0	1	0	0	0	0	0
Orygis_La3	ERR4799118	40	6	1	2	12	10	4	2	1	3	8	7	3
Orygis_La3	SRR25035965	40	5	2	0	6	6	6	2	1	1	2	0	4
Orygis_La3	SRR23445174	40	10	3	0	19	12	4	2	4	2	6	9	1
Orygis_La3	SRR23445126	40	5	0	2	12	6	3	3	1	0	5	3	2
Orygis_La3	SRR24372789	40	1	0	0	0	0	0	0	1	0	0	0	0
Orygis_La3	SRR23445180	40	12	4	2	12	15	7	6	4	0	8	7	2
Orygis_La3	SRR10321143	40	13	2	2	24	14	6	4	1	0	8	10	4
Orygis_La3	SRR29322297	40	7	1	0	13	15	5	1	5	0	6	10	2
Orygis_La3	ERR4817427	40	2	1	4	8	5	2	4	0	0	1	1	2
Orygis_La3	SRR17089003	40	0	0	0	0	0	0	0	0	0	0	0	0
Orygis_La3	SRR23445134	40	0	0	0	0	0	0	0	0	0	0	0	0
Orygis_La3	ERR234682	40	9	0	3	17	15	8	3	1	0	8	11	4
Orygis_La3	ERR9125109	40	9	3	2	29	19	1	2	5	3	17	10	1
Orygis_La3	SRR28623800	40	0	0	0	0	0	0	0	0	0	0	0	0
Orygis_La3	ERR6375135	40	4	3	5	17	15	3	3	4	2	6	9	0
Orygis_La3	ERR234675	40	8	4	4	18	13	6	4	5	0	8	8	4
Orygis_La3	SRR25035967	40	3	1	0	5	5	1	1	0	0	2	4	0
Orygis_La3	SRR16643349	40	12	5	3	13	6	1	6	2	2	8	6	0
Orygis_La3	SRR28623806	40	0	0	0	0	0	0	0	0	0	0	0	0
Orygis_La3	SRR27450478	40	13	4	2	27	22	3	4	4	1	10	14	2
Orygis_La3	SRR29052772	40	8	4	2	13	9	5	2	3	1	7	8	0
Orygis_La3	SRR23445136	40	10	1	2	16	9	4	2	2	2	6	3	2
Orygis_La3	SRR28623801	40	0	0	0	0	0	0	0	0	0	0	0	0
Orygis_La3	SRR28623786	40	0	0	0	0	0	0	0	0	0	0	0	0
Orygis_La3	SRR27450482	40	15	3	2	32	18	10	6	4	2	11	10	4
Orygis_La3	SRR16089402	40	14	4	4	25	15	4	5	6	2	14	9	4
Orygis_La3	SRR23445125	40	17	5	4	32	20	9	3	3	0	16	11	5
Orygis_La3	SRR29440847	40	5	2	7	11	11	6	3	0	1	4	10	5
Orygis_La3	SRR23445148	40	23	6	5	27	28	10	6	4	2	18	21	6
Orygis_La3	SRR28623803	40	0	0	0	0	0	0	0	0	0	0	0	0
Orygis_La3	ERR2512859	40	30	3	5	33	55	9	8	4	6	13	33	5
Orygis_La3	SRR23445128	40	5	3	0	18	9	3	1	2	1	7	5	1
Orygis_La3	SRR23445155	40	11	3	0	25	8	6	2	2	0	16	2	2
Orygis_La3	SRR23445132	40	0	0	0	0	0	0	0	0	0	0	0	0
Orygis_La3	SRR6046131	40	21	2	3	27	15	8	13	5	2	13	10	2
Orygis_La3	ERR6375142	40	5	3	4	14	9	7	3	2	1	8	6	3
Microti	ERR027298	32	4	1	2	12	13	6	2	1	1	7	10	2
Microti	ERR2659167	32	1	0	0	3	2	0	0	0	0	3	1	0
Microti	SRR25473322	32	1	0	1	1	1	2	0	0	0	1	0	1
Microti	ERR4818896	32	1	0	0	1	1	0	0	0	0	0	1	0
Microti	ERR4817596	32	2	2	0	6	1	1	1	0	1	1	1	1
Microti	ERR2659163	32	1	0	0	0	1	2	1	0	0	0	1	1
Microti	ERR027294	32	10	1	2	19	10	9	4	2	2	8	4	1
Microti	ERR2693243	32	7	3	2	17	9	7	1	2	1	8	6	3
Microti	ERR4627396	32	21	14	3	44	65	14	8	8	5	24	33	6
Microti	ERR553377	32	0	0	0	0	0	0	0	0	0	0	0	0
Microti	ERR4816200	32	3	1	2	13	6	5	1	0	2	5	6	1
Microti	ERR4819660	32	14	4	9	37	16	17	6	3	2	14	12	10
Microti	SRR25473320	32	1	0	0	2	0	0	0	0	0	1	0	0
Microti	ERR5102812	32	2	0	0	3	2	0	0	0	0	2	2	0
Microti	ERR027297	32	11	4	4	22	10	5	4	2	2	13	3	2
Microti	ERR4821993	32	0	0	0	0	0	0	0	0	0	0	0	0
Microti	ERR2200122	32	0	0	0	0	0	0	0	0	0	0	0	0
Microti	ERR553376	32	0	0	0	5	1	1	0	0	0	3	1	0
Microti	ERR2659166	32	17	2	9	44	25	17	11	6	5	15	14	6
Microti	ERR4816690	32	0	0	0	1	0	0	0	0	0	1	0	0
Microti	ERR3283039	32	6	1	0	4	4	2	2	3	0	3	1	1
Microti	SRR3647357	32	0	0	0	1	0	0	0	0	0	0	0	0
Microti	ERR2659170	32	0	0	0	0	0	0	0	0	0	0	0	0
Microti	ERR4618952	32	2	2	2	11	12	4	2	1	1	8	10	3
Microti	ERR4815315	32	1	3	2	4	1	4	1	2	0	4	1	2
Microti	ERR4816083	32	8	3	3	31	27	19	6	7	2	12	17	9
Microti	ERR2659168	32	0	0	2	2	2	0	0	0	0	2	2	0
Microti	ERR027295	32	0	0	0	0	0	0	0	0	0	0	0	0
Microti	ERR4627394	32	2	0	0	2	2	2	1	0	0	1	2	2
Microti	SRR25473321	32	1	0	0	1	0	0	0	0	0	1	0	0
Microti	SRR5007159	32	2	4	2	4	11	2	1	2	0	2	7	1
Microti	ERR551111	32	0	0	0	0	0	0	0	0	0	0	0	0
Pinnipedii	ERR4143898	15	0	0	0	0	0	0	0	0	0	0	0	0
Pinnipedii	ERR552769	15	0	0	0	0	0	0	0	0	0	0	0	0
Pinnipedii	ERR552768	15	0	0	0	0	0	0	0	0	0	0	0	0
Pinnipedii	ERR12075278	15	0	0	0	1	0	0	0	0	0	1	0	0
Pinnipedii	SRR1239336	15	8	2	0	5	1	0	1	1	1	3	1	0
Pinnipedii	SRR1239337	15	3	1	0	3	3	1	0	0	0	3	2	0
Pinnipedii	SRR1239338	15	7	1	0	13	6	5	0	0	0	8	3	2
Pinnipedii	ERR551134	15	0	0	0	0	0	0	0	0	0	0	0	0
Pinnipedii	ERR551136	15	0	0	0	0	0	0	0	0	0	0	0	0
Pinnipedii	SRR1239339	15	0	0	0	0	0	0	0	0	0	0	0	0
Pinnipedii	ERR4143897	15	1	0	1	1	0	0	0	0	0	0	0	0
Pinnipedii	SRR7693584	15	1	1	0	3	1	0	1	1	1	1	1	0
Pinnipedii	SRR29055367	15	3	0	0	3	1	1	2	0	0	1	1	1
Pinnipedii	ERR4817032	15	0	0	0	0	0	0	0	0	0	0	0	0
Pinnipedii	SRR7693090	15	4	1	0	1	3	2	0	3	0	0	3	1
La4	SRR27836870	21	0	0	0	0	0	0	0	0	0	0	0	0
La4	SRR31884848	21	16	1	6	20	20	9	6	5	1	4	8	5
La4	SRR27836877	21	0	0	0	0	0	0	0	0	0	0	0	0
La4	SRR27836874	21	0	0	0	0	0	0	0	0	0	0	0	0
La4	DRR120408	21	12	2	5	30	32	3	6	2	1	15	22	3
La4	SRR3135069	21	0	0	0	1	0	0	0	0	0	0	0	0
La4	SRR27836871	21	0	0	0	0	1	0	0	0	0	0	0	0
La4	SRR35773085	21	14	10	4	32	19	8	5	4	1	15	10	5
La4	ERR13149107	21	0	0	0	0	0	0	0	0	0	0	0	0
La4	SRR27836869	21	0	0	0	0	0	0	0	0	0	0	0	0
La4	SRR1792164	21	0	0	0	0	0	0	0	0	0	0	0	0
La4	SRR18914189	21	0	0	0	0	0	0	0	0	0	0	0	0
La4	SRR16503843	21	0	0	0	0	0	0	0	0	0	0	0	0
La4	SRR7617662	21	0	0	0	0	0	0	0	0	0	0	0	0
La4	SRR1792165	21	0	0	0	1	0	0	0	0	0	0	0	0
La4	SRR27836875	21	0	0	0	0	0	0	0	0	0	0	0	0
La4	SRR27836876	21	0	0	0	0	0	0	1	0	0	0	0	0
La4	SRR27836868	21	0	1	0	0	0	0	0	0	0	0	0	0
La4	ERR11068622	21	42	13	7	64	59	18	14	15	6	27	38	7
La4	SRR27836873	21	0	0	0	0	0	0	0	0	0	0	0	0
La4	SRR27836872	21	1	0	0	0	0	0	0	0	0	0	0	0
Dassie	SRR3745455	6	10	2	4	27	6	8	2	1	1	16	6	3
Dassie	SRR3745457	6	0	0	0	0	0	0	0	0	0	0	0	0
Dassie	ERR2659158	6	1	0	1	0	1	1	0	0	0	0	1	1
Dassie	ERR2659157	6	0	0	0	0	0	0	0	0	0	0	0	0
Dassie	SRR3745456	6	7	3	3	18	9	11	3	2	3	9	6	9
Dassie	SRR3745458	6	2	0	1	1	2	0	0	0	0	0	1	0
Suricattae	SRR29093838	5	0	0	0	0	3	0	0	0	0	0	1	0
Suricattae	SRR29093504	5	11	1	2	10	6	3	5	0	1	3	4	1
Suricattae	ERR970409	5	0	0	0	1	0	0	0	0	0	0	0	0
Suricattae	SRR29096559	5	0	0	0	1	0	0	0	0	0	0	0	0
Suricattae	SRR29096255	5	7	2	2	16	5	6	8	1	1	10	4	2
